INCA ID,prenom_port,nom_port,organisme_port,Dimensions Grant ID,Title,Abstract,Funder,Reference,Research Org Names,Research Org IDs,FOR,RCDC,Funding Amount ($),Start Date,End Date,funder_clean,funder_flag,inca_flag,org_clean,org_flag,researcher_name,researcher,nb_for,nb_rcdc,inserm_flag
inca_3,Antoine,ADENIS,Centre Oscar Lambret,grant.7154464,A multicenter randomized phase II study to evaluate the benefit of chemotherapy plus best supportive care (BSC) versus BSC in patients with metastatic oesophageal cancer (MOEC) of squamous-cell type (SC) (MOEC-SC) who have not experienced disease progression or unacceptable toxicity during a 2 month-course of chemotherapy,"Medical oncologists are used to treat patients with MOEC-SC with chemotherapy. The amount of cytotoxic agents with documented activity against MOEC-SC is limited but responses have been documented with cisplatin, fluorouracil, vindesine, mitomycin, irinotecan, oxaliplatin, paclitaxel, docetaxel and vinorelbine, as well as with various combinations of the aforementioned compounds. However, there is no available randomized trial supporting any kind of survival benefit with chemotherapy for patients with MOEC-SC. As most of the physicians are intimately convinced of a favourable impact of chemotherapy on outcome, no randomized trial comparing chemotherapy to BSC can be run and, in routine practice, most of the patients in good condition are treated with fluoropyrimidin- and/or platinum salts-based regimen. This attitude leads to the delivery of cytotoxics with unproven benefit but some side effects and unjustified costs.
To overcome this situation, we are launching a multicenter randomized phase II study to evaluate the benefit of chemotherapy plus BSC versus BSC in patients with MOEC-SC who have not experienced disease progression or unacceptable toxicity during a 2 month-course of chemo-therapy of any kind.",Ministère des Affaires sociales et de la Santé,DGOS_2555,Centre Oscar Lambret,grid.452351.4,1112 Oncology and Carcinogenesis,Cancer;Clinical Research;Clinical Trials and Supportive Activities,248109.0,2010-06-01,2013-06-01,Ministère des Affaires sociales et de la Santé,True,False,Centre Oscar Lambret,True,Antoine ADENIS,"ADENIS, Antoine",1,3,False
inca_8,Mira,AL LAKKIS,CNRS UMR7177  Institut de Chimie de Strasbourg,grant.7154013,"New family of molecules inhibiting AP-N or CD13, an enzyme involved in the process of angiogenesis of cancerous tumors","Angiogenesis is a process now widely studied in oncology. This is a path that should lead the fight against tumor progression. Among adults, this process is triggered by specific situations (end of cycle menstrual tissue healing post-lesion), and is inactivated under physiological conditions due to a balance between pro-angiogenic factors and anti-angiogenic. During tumor growth this balance is broken """"), because most tumor cells, but also the peritumoral stroma, release of pro-angiogenic factors in excess in the extracellular space (angiogenic switch). neoangiogenesis This process is essential for tumor development, it can also spread. Neutralize this process of neovascularization in the case of cancer, is a promising approach for the development of new anti-cancer treatments that we hope less toxic than those used today.
Problem: Interest therapeutic inhibitors of aminopeptidase-N-N_AP [EC 3.4.11 .2]-CD13
Aminopeptidases (Aps) exopeptidases are ubiquitous in mammals. They catalyze the hydrolysis reaction of the amino acid amino-terminal position of a peptide or protein. This is a very specific aminopeptidase that we are interested, the AP-N or CB13. These studies have been replicated by other groups with other types of inhibitors of this aminopepticlase. A recent review focuses on the role of aminopeptidases in oncology as well as the importance of developing other inhibitory molecules stronger and more selective than bestatin, actinonin or amastatin.
• All of these results were validated by very recent work (Rangel et al. PNAS 2007. 104, 4588 ¬ 4593). It is now demonstrated that neovascularization is deeply inhibited in mice ""knock-out"" no longer expressing AP-N or CB13. These results establish definitively the importance of AP-N in the process of angiogenesis.

• It has been recently shown that the expression of this ectoenzyme on the surface of cells is related to the phenomena of cell motility, it is now considered an important regulator of endothelial morphogenesis during the process of angiogenesis. Inhibitors, which block the catalytic activity of this enzyme (bestatin which an inhibition constant (Ki) of 3.5 microM on PA-N), interfere with this process. They are active in the classical models of angiogenesis.
> Vascularization of the retina caused by hypo-oxygenation
Vasculature (in the presence of a growth factor, bFGF) of a fabric graft over the membrane chorioallantolque chicken embryo
> The bestatin, actinonin and antibodies against AP-N and its catalytic activity have a significant effect on the growth of tumors implanted in mice type ""nude"" Treated animals showed no tumor progression established.
This new function of AP-N is still little known in its mode of action. It is clear that the catalytic activity of the enzyme itself is involved in these processes, either directly or through chemokines and growth factors whose activity is modulated by AP-N.
• It appears that inhibition of AP-N interferes not with cell growth, but the process of endothelial morphogenesis. Bestatin and its analogues as amastatin not affect the growth of endothelial cells, but affect their organization during neovascularization.
The AP-N inhibitors appear to inhibit endothelial morphogenesis.
The synthesis of new compounds (CBO & LASYRO) will be entrusted our PhD. We want to change the ""southern part"" of the molecule by focusing on the substituents R3. The development of synthetic methods has been widely introduced to the team LASYRO.
The student will also be responsible for determining the inhibition constants in vitro AP-N compounds, it has synthesized. It seems reasonable to imagine that after a period of six months in organic synthesis, two months would be devoted to enzymology, during the period of this thesis, This will of course depend potential difficulties encountered during synthesis work.
",French National Cancer Institute,INCa_1711,Institut de Chimie de Strasbourg,grid.462043.7,0601 Biochemistry and Cell Biology,Biotechnology;Cancer,146056.0,2007-10-01,2011-06-30,French National Cancer Institute,True,True,Institut de Chimie de Strasbourg,True,Mira AL LAKKIS,"AL LAKKIS, Mira",1,2,False
inca_11,Matthew,ALBERT,Inserm U818 - Institut Pasteur,grant.7154673,Evaluating the role of classical and non-classical T lymphocytes in a model of spontaneous bladder cancer and identifying strategies to optimize intravesical BCG therapy,"SCIENTIFIC CONTEXT  The study of patients with bladder cancer undergoing intravesical immuntherapy with Bacillus Calmette Guerin (BCG) offers the unique opportunity to define mechanisms by which the immune system may be used to target tumour cells. Intravesical BCG therapy for the treatment of high grade non-muscle invasive bladder carcinoma (NMIBC) and carcinoma in situ (CIS) of the bladder is one of the most effective immunotherapies, with response rates ranging from 50-70% 4. Defining the mechanism of action for this treatment modality offers the possibility of defining true correlates of tumour immunity. The principles uncovered by such study may provide insight into the development of alternative treatment modalities for patients who fail therapy as well as those that present with muscle invasive disease. As bladder cancer remains one of the most costly malignancy to manage in the USA and Europe 5, and as muscle-invasive bladder cancer is a deadly disease, improvements in patient management would be beneficial not only for the individual but also for society at large.     DESCRIPTION OF THE PROJECT  The aim of this project are to:  I. Optimize pre-clinical models of bladder cancer for the analysis of BCG-mediated tumour immunity.   Ongoing human subject studies have provided new insight into the inflammatory response triggered by BCG when it is instilled into the bladders of cancer patients. To complement our translational research on human patients (currently supported by La Ligue and L’ARC), we are in need of small animal models that will help further our understanding of the mechanism(s) of tumour immunity and facilitate the development of pre-clinical data that may be used as the basis for future Phase I trials. Optimizing, validating and exploiting such models are the basis of this collaborative and interdisciplinary research program. Notably, in this revised application, we have included a new partner with great expertise in urothelial cancer genetics and the assessment of mouse tumour models for their relevance to human disease.  II. Define the key aspects of lymphocyte activation (both classical and non-classical populations) that are critical for immune infiltration and tumour immunity.  T cells have been suggested to be critical for BCG-mediated control of bladder cancer. In addition to classical lymphocytes, one of the unique aspects of the project will be the study of MAIT cells and other innate T cells known to react to mycobacterial-infected cells 6, thus suggesting their potential importance in BCG-mediated tumour immunity.   III. Evaluate natural and genetically modified BCG strains for their ability to enhance tumour immunity.   We have been evaluating several natural and recombinant strains of BCG as a strategy to optimize / improve upon the exisiting standard of care. In particular, we have recently shown superiority for the Connaught strain, as compared to Tice strain in protection against disease progression. There are currently 7 BCG strains in clinical use- we propose to assess their comparative ability to initiate anti-tumour immunity in pre-clinical models developed within the context of this project. We are also excited about BCG expressing the listeriolysin protein (referred to as BCG::hly). As part of a research collaboration with Vaccine Project Management (VPM) GmbH and Stefan Kaufmann (Max Plank Institute), we have been evaluating the interaction of BCG::hly and urothelial cells in vitro. The results are promising and we now aim to perform pre-clinical testing thus allowing us to generate proof-of-concept that BCG::hly improves response to treatment by improving immune activation. Cross-priming of classical anti-tumour CD8+ T cells as well as the stimulation of non-classical lymphocytes will be evaluated.    EXPECTED RESULTS  The question of how the immune system can be used to achieve tumour immunity receives much attention. This may be noted by the number of high-profile papers published in this field. This attention is due to the complexity and great need for novel therapeutic modalities. In particular, we point out the need for validated correlates of tumour immunity. Bladder cancer provides an unique opportunity – one that surprisingly few people have capitalized upon.  Our global efforts (human and pre-clinical mouse models combined with expertise in utilizing recombinant BCG) put us is a strong position for success and within the context of this project, we expect to deliver:  (i) robust pre-clinical models for the study of bladder cancer-  (ii) correlates of tumour immunity and information about classical and non-classical T cells in BCG therapy- and   (iii) clear evidence for BCG strain as a determinant of response to therapy, with the identification of novel strategies for initiating Phase I/II clinial trials in humans.",French National Cancer Institute,INCa_5975,Pasteur Institute,grid.428999.7,1112 Oncology and Carcinogenesis;1107 Immunology,Vaccine Related;Cancer;Urologic Diseases,564589.0,2012-12-27,2015-12-27,French National Cancer Institute,True,True,Pasteur Institute,True,Matthew ALBERT,"ALBERT, Matthew",2,3,False
inca_12,Laurence,ALBIGES-SAUVIN,Institut Gustave Roussy,grant.7154522,Preclinical validation of FGFR1 as potential therapetic target in breast cancer,"The identification and validation of new therapeutic targets in breast carcinoma is a major challenge in oncology. Among the molecular anomalies, those related to tyrosine kinase are especially attractive since inhibitors are already available to target such anomalies. We have recently shown that FGFR1 present high level of amplification in around 11% of breast carcinoma (n=106). In the same study, FGFR1 gene amplifications correlated with gene expression. FGFR1 is a tyrosine kinase that has been shown to be involved in prostatic carcinogenesis in animal models. Overall, these data suggest that FGFR1 could be dysregulated in around 10% of breast cancer samples, and could represent a potential therapeutic target. We want to validate FGFR1 as therapeutic target in breast carcinoma.   Spécific Aims : Methods  A. To evaluate the frequency of FGFR1 aonmalies in a large series of breast cancer  In order to assess the frequency of FGFR1 gene amplification, we will perform a CISH FGFR1 on a tissue microarray that includes 823 breast carcinoma. This tissue array has been previously successfully used for TOP2A FISH. In the same time, we will perform tumor immunostaining for phosphorylated FGFR1 in order to detect the frequency of FGFR1 activation in this patient population.  This part of the project will be performed in the laboratory of pathology from Translational Research Unit of IGR.    B.  To assess the effect of FGFR1-specific siRNA on tumor cell growth  We have identified three cell lines that present FGFR1 gene amplification. We will assess the effect of siRNA on these three cell lines and on FGFR1 non amplified lines. The siRNA effect on cell proflieration will be assessed by MTT assay at day 4 and 6 post-transfection. In addition, we will assess the effect of siRNA on AKT phosphorylation.   C.  To assess the antitumor effect of a specific FGFR1 inhibitor.  Two FGFR1 are available for laboratory use in our unit. We will first assess whether the three FGFR1-amplified cell line scan be successfully engraft and grow in nude mice. We will then assess the antitumor effect of FGFR1-inhibitors in FGFR1+ and FGFR1- tumors, in nude mice.  The effect of anti-FGFR1 on phosphoproteins and epithelial-to-mesenchymal transition will also be evaluated.  Specific Aim A: This part should allow determining the incidence of FGFR1-dysregulations in breast cancer.   Specific aim B: This part will determine the implication of FGFR1 in cell proliferation according to the FGFR1 gene amplifications.  Specific aim C: This part will allow defining the anti-tumor efficacy of an FGFR1 targeting in vivo. As for the specific aim B, showing that the efficacy is limited to FGFR1 gene amplified tumors will help designing further clinical trials that will evaluate efficacy of FGFR1 inhibitors. This project should answer three questions.   a. What is the incidence of dysregulations in FGFR1 expression in breast cancer ? b. Is there a rationale to evaluate FGFR1 inhibitors in breast cancer ? c. Should clinical trials be limited to FGFR1-gene amplified tumors ?",French National Cancer Institute,INCa_0607,Institut Gustave Roussy,grid.14925.3b,1112 Oncology and Carcinogenesis,Biotechnology;Cancer;Breast Cancer,49032.0,2008-11-10,2009-11-09,French National Cancer Institute,True,True,Institut Gustave Roussy,True,Laurence ALBIGES-SAUVIN,"ALBIGES-SAUVIN, Laurence",1,3,False
inca_14,Catherine,ALIX-PANABIERES,CHU de Montpellier - Hôpital Saint Eloi,grant.7426012,Assessment by EPISPOT of circulating tumor cells as an early predictive marker of response to chemotherapy and targeted therapy in patients with metastatic colorectal cancer in first line of treatment,"Treatment of metastatic colorectal cancer needs chemotherapy in most of the cases. During these last years, many new chemotherapies and targeted therapies have been developed improving significantly the overall survival of patients.     However, the choice of the therapeutic sequences becomes difficult due to the lack of validated predictive biomarkers of their efficiency. Indeed, only the mutation of the k-ras oncogene is a predictive factor of non-efficacy of the anti-EGFR antibodies. It is thus crucial to identify new biomarkers to propose the best personalized 1rst line therapeutic sequence. One idea would be to enumerate and characterize the circulating tumor cells (CTC) which, as it has been described in a recent study realized by Cohen et al. in patients with metastatic colorectal cancer, would give us an early evaluation of the therapeutic efficiency.      In this context, we have developed an innovative technology, the EPISPOT assay (patent of the University Medical Center of Montpellier), that allows the detection & characterization of viable CTC in the peripheral blood. The EPISPOT technology has been already evaluated in the breast and prostate cancer (Alix-Panabières et al, J Immunol Methods 2005- Alix-Panabières et al, Clin Chem 2005 et 2007). Thus, we would like to perform a prospective study on a cohort of patients with metastatic colorectal cancer to confirm, with this technology, the predictive value of CTC count for the efficacy of the treatment.   The main objective is to evaluate the predictive value of the early progression of the CTC performed with the EPISPOT assay and the PFS in a cohort of patients treated with FOLFIRI-AVASTIN or FOLFOX-AVASTIN in 1rst line of metastatic colorectal cancer.    The secondary objectives of this study will be : (i) to evaluate the prognostic value of the CTC detected by EPISPOT- (ii) to evaluate the predictive value of the early progression of CTC detected by EPISPOT on the overall survival- (iii) to compare the results with those obtained with the CellSearch® system, which has been approved by the US FDA and which will be performed in parallel- (iv) to evaluate the VEGF expression by the CTC before and after the administration of bevacizumab (Avastin) with both technologies, the EPISPOT and the CellSearch®.     We would like to validate a new biomarker for the early prediction of the treatment efficacy (chemo and targeted therapies). Attending benefit is the establishment of a new biomarker to predict early efficacy of chemotherapies and targeted therapies, (in particularly bevacizumab), for patients treated with first line of metastatic colorectal cancer.  With this study, new strategies could be developed to manage metastatic colorectal patients under treatment and, in fine, we may propose a personalized treatment appropriated for each patient that could lead to the reduction of useless toxic medication and improve cost-effectiveness.",French National Cancer Institute,INCa_DGOS_3989,Hôpital Saint Eloi,grid.414352.5,1112 Oncology and Carcinogenesis,Digestive Diseases;Cancer;Urologic Diseases;Prostate Cancer;Colo-Rectal Cancer;Breast Cancer;Clinical Research,660262.0,2011-08-28,2014-08-27,French National Cancer Institute,True,True,Hôpital Saint Eloi,True,Catherine ALIX-PANABIERES,"ALIX-PANABIERES, Catherine",1,7,False
inca_14,Catherine,ALIX-PANABIERES,CHU de Montpellier - Hôpital Saint Eloi,grant.7425987,Assessment by EPISPOT of circulating tumor cells as an early predictive marker of response to chemotherapy and targeted therapy in patients with metastatic colorectal cancer in first line of treatment,"Treatment of metastatic colorectal cancer needs chemotherapy in most of the cases. During these last years, many new chemotherapies and targeted therapies have been developed improving significantly the overall survival of patients.     However, the choice of the therapeutic sequences becomes difficult due to the lack of validated predictive biomarkers of their efficiency. Indeed, only the mutation of the k-ras oncogene is a predictive factor of non-efficacy of the anti-EGFR antibodies. It is thus crucial to identify new biomarkers to propose the best personalized 1rst line therapeutic sequence. One idea would be to enumerate and characterize the circulating tumor cells (CTC) which, as it has been described in a recent study realized by Cohen et al. in patients with metastatic colorectal cancer, would give us an early evaluation of the therapeutic efficiency.      In this context, we have developed an innovative technology, the EPISPOT assay (patent of the University Medical Center of Montpellier), that allows the detection & characterization of viable CTC in the peripheral blood. The EPISPOT technology has been already evaluated in the breast and prostate cancer (Alix-Panabières et al, J Immunol Methods 2005- Alix-Panabières et al, Clin Chem 2005 et 2007). Thus, we would like to perform a prospective study on a cohort of patients with metastatic colorectal cancer to confirm, with this technology, the predictive value of CTC count for the efficacy of the treatment.   The main objective is to evaluate the predictive value of the early progression of the CTC performed with the EPISPOT assay and the PFS in a cohort of patients treated with FOLFIRI-AVASTIN or FOLFOX-AVASTIN in 1rst line of metastatic colorectal cancer.    The secondary objectives of this study will be : (i) to evaluate the prognostic value of the CTC detected by EPISPOT- (ii) to evaluate the predictive value of the early progression of CTC detected by EPISPOT on the overall survival- (iii) to compare the results with those obtained with the CellSearch® system, which has been approved by the US FDA and which will be performed in parallel- (iv) to evaluate the VEGF expression by the CTC before and after the administration of bevacizumab (Avastin) with both technologies, the EPISPOT and the CellSearch®.     We would like to validate a new biomarker for the early prediction of the treatment efficacy (chemo and targeted therapies). Attending benefit is the establishment of a new biomarker to predict early efficacy of chemotherapies and targeted therapies, (in particularly bevacizumab), for patients treated with first line of metastatic colorectal cancer.  With this study, new strategies could be developed to manage metastatic colorectal patients under treatment and, in fine, we may propose a personalized treatment appropriated for each patient that could lead to the reduction of useless toxic medication and improve cost-effectiveness.",Ministère des Affaires sociales et de la Santé,INCa_DGOS_3989,Hôpital Saint Eloi,grid.414352.5,1112 Oncology and Carcinogenesis,Digestive Diseases;Cancer;Urologic Diseases;Prostate Cancer;Colo-Rectal Cancer;Breast Cancer;Clinical Research,660262.0,2011-08-28,2014-08-27,Ministère des Affaires sociales et de la Santé,True,False,Hôpital Saint Eloi,True,Catherine ALIX-PANABIERES,"ALIX-PANABIERES, Catherine",1,7,False
inca_21,Philippe,AMIEL,Institut Gustave Roussy,grant.7154272,Experience and status of the patients in clinical cancer research in France,"Our research project is based on two observations. On the one hand there is no qualitative study, today in France, about a concrete sequence, in length, of a clinical cancer research as it is experienced by patients. On the other hand, a study focused on the socio-historical evolution the patients’ status in clinical cancer research would complete the established knowledge on the history of cancer on one side and the history of biomedical research on the other.The double socio-historical and anthropological perspective would fill a gap in research on the specificity of the experience of patients participating in a clinical cancer research in France. Patients usually are in urgent and dramatic medical situations, so they have little opportunity to be heard by institutions although our study could contribute to improve the ethics of practices in biomedical experiment.   2- Description of the project  Our research project articulates three modes of knowledge.  First the ethnological one. We plan to produce an ethnographic study on the experience of cancer patients included in a clinical research. It will be focused on the issue of the specificity of this experience, seen through the concept of ""patient research partner"". It will be conducted by a doctoral student in anthropology from the EHESS in two oncology services participating in clinical trials, including one at the Gustave Roussy Institute in Villejuif. The methodology used for data collection will combine the inputs of participant-observation, interviews and ""history of life"" method. The collected elements will be analysed according to the methods of interpretative anthropology. The ground survey will be conducted over a period of 36 months and will lead to the writing of a doctoral thesis. Secondly the historical one: The study will involve the changing status of patients in clinical cancer trials in France. It will be led by a doctoral student drom History Research Center (HRC) for a year at half-time, in collaboration with a sociologist specialized in the study of normative frameworks of clinical research. It will enable us to review whether the patients’ status in biomedical cancer research has, or no,t any specific development compared with other diseases (tuberculosis, AIDS and so on.). But also to know history of the ""social construction"" on status of ""patient research partner"" that we want to investigate.  Interdisciplinary for the third, which will serve as an articulation between anthropological and historical components of the project. We plan to organize a seminar for interdisciplinary research, on the topic of patients in clinical research, in order to cross the perspective on our object. This monthly seminar will be conducted within the EHESS. It will have a twofold purpose: to mobilize researchers on the problem of patients in biomedical  cancer research, and to prepare the organisation of a one-day symposium on this subject. Ethnological study will offer knowledges on:   1) The concrete conditions of voluntary entrance in a clinical essay. 2) The motivations of the patients to take part in this essay. 3) The balance between the patient’s expectations and the reality of the research. 4) The quality of life of the patients included in a clinical experiment. 5) The nature of the ""work"" (Strauss, 1985) made by the patients during an essay.  - Historical research will enable us to know :  1) Changes in the status accorded to patients in a biomedical cancer experiment. 2) History of the concept of ""patient as partner"" in clinical research.   - The organization of a research seminar and an international conference will offer the possibility for:   1) The mobilization of social sciences resarchers on the issue of the experience of patients in clinical cancer research.  2) Establishing an area of exchanges around the human experience in clinical research, opening up opportunities for interdisciplinary and comparative reflections.",French National Cancer Institute,INCa_0855,Paris 13 University;Institut Gustave Roussy,grid.11318.3a;grid.14925.3b,1608 Sociology,Cancer,225631.0,2008-11-08,2011-11-08,French National Cancer Institute,True,True,Paris 13 University;Institut Gustave Roussy,True,Philippe AMIEL,"AMIEL, Philippe",1,1,False
inca_25,Fabrice,ANDRE,Institut Gustave Roussy,grant.7425982,20 000 patients with localized breast cancer to evaluate the toxicity of treatment,"This cohort study aims to chronic toxicities of treatment
cancer among 20 000 patients with localized breast cancer. The
project is coordinated by the Institut Gustave Roussy in strong cooperation with the
Centre for the Fight Against Cancer Georges François Leclerc in Dijon and
National Federation of Centres for the Fight Against Cancer. The project
pemettra to have a large database of clinical and biological
chronic toxicities associated with cancer treatment (health problem
emerging public and yet understudied), as well as a single biobank
attractive for academic and industrial partnerships. Through this project, the scientific community has access to a database
chronic toxicity data detected in 20,000 patients who have been
treated for breast cancer stage I-III. Description of the impact of
clinical and laboratory characteristics and long-term consequences
chronic toxicities are identified. The psychological impact of
development of these toxicities in patients will be analyzed. The whole
data should allow to identify predictors of toxicity
chronic. Breast cancer is the most common cancer among women in developing countries
developed. In France, an estimated 50,000 women will
diagnosed with breast cancer in 2011. Medical advances
spectacular made in recent years now allow the
survival beyond 10 years more than 80% of patients diagnosed.
Despite their undeniable efficacy, these treatments toxicity
Chronic will reach more than 30,000 patients per year, and changes
ultimately the quality of life, social status, while aggravating strongly
care expenditure. The expected impacts of the project are CANTO
development of new therapies, improved quality of life
patients and lower health care costs. The database will be shared with research teams
international. ",French Institute of Health and Medical Research,Inserm_6401,Institut Gustave Roussy,grid.14925.3b,1117 Public Health and Health Services;1112 Oncology and Carcinogenesis,Cancer;Patient Safety;Breast Cancer;Clinical Research,394723.0,2011-08-05,2012-12-31,French Institute of Health and Medical Research,True,False,Institut Gustave Roussy,True,Fabrice ANDRE,"ANDRE, Fabrice",2,4,True
inca_34,Françoise,ARGOUL,ENS Ecole Normale Supérieure de Lyon,grant.7426218,Impact of physical constraints on cancer stem cell resistance,"Metastatic melanoma has a very poor prognosis. Therapeutic advances have occurred with vemurafenib and ipilimumab. Primary or acquired resistances to these innovative treatments demonstrate that other targets are necessary. EMMPRIN/CD147, its role in tumor progression is admitted, is the topic of our research group and its role in tumor invasion and angiogenesis. Our work suggests that EMMPRIN/CD147, membrane glycoprotein enriched on tumor cells surface, is a crucial mediator of the tumor-stroma cooperation. We have shown that EMMPRIN induces the production of matrix proteases by various stromal cells, differentiation of fibroblasts into myofibroblasts, regarded as central players in tumorigenesis and angiogenesis by regulating VEGF and VEGFR-2 via HIF-2alpha in endothelial cells. This regulation was found in melanoma tumor cells with implications for their malignant properties, suggesting that this regulation VEGFR-2/HIF-2 by EMMPRIN may be a more general mechanism.
This project proposes to identify the molecular domain responsible for regulating EMMPRIN system VEGFR-2/HIF¬2alpha and angiogenesis, to develop specific inhibitors of this regulation. The functional consequences of this area effect and the mechanisms involved in the signaling pathways by which the EMMPRIN domain regulates VEGFR-2 via the induction of HIF-2 will be analyzed.
Molecular modelization will help to identify residues responsible for this regulation and to identify anti-angiogenic pharmacological inhibitors targeting these residues. Evaluation and validation in vitro and in vivo, of the most effective inhibitors would open the way for an innovative therapeutic anti-angiogenic targeted strategy for tumors and melanomas.
",French Institute of Health and Medical Research,Inserm_6402,École Normale Supérieure de Lyon,grid.15140.31,1112 Oncology and Carcinogenesis;0601 Biochemistry and Cell Biology,Cancer,304327.0,2012-09-26,2014-09-25,French Institute of Health and Medical Research,True,False,École Normale Supérieure de Lyon,True,Françoise ARGOUL,"ARGOUL, Françoise",2,1,True
inca_36,Bernard,ASSELAIN,Institut Curie,grant.7154656,Biological response to tamoxifen (TAM) in patients with breast cancer non metastatic RH+,"Tamoxifen (TAM) is an antiestrogen that acts by competitive inhibition of estradiol binding to its receptors. Its clinical effectiveness is amply demonstrated in all stages of hormone-dependent breast cancer. In recent years, aromatase inhibitors have shown a slight superiority in disease-free survival for early stage and metastatic cancers. The risk/benefit ratio of these two drug classes is unclear in subgroups of patients. The key enzyme in the metabolism of tamoxifen to endoxifen (the most active metabolite) is CYP2D6. There is great interindividual variability in CYP 2D6, linked to many genetic polymorphisms which influences their expression and functionality. Nearly 20% of Caucasian patients have a polymorphism of CYP2D6 resulting in a low transformation of tamoxifen endoxifen. Retrospective clinical work recently published have shown that these polymorphisms have an impact on progression-free survival of postmenopausal women treated with tamoxifen. The assumption is that poor metabolizers, resulting from low CYP2D6 activity, have lower levels of active metabolite in the plasma compared to heterozygous and wild type gene carriers. These observations suggest the need to track the status of the polymorphic CYP2D6 in order to better identify patients likely to benefit from TAM. Thus, according to FDA recommendations, this information was included in the SPC of TAM in October 2006. The work of the group of M Dowsett, performed in postmenopausal women, showed the necessity for a biological marker of early efficacy of treatment with TAM. Thus, after 2 and 12 weeks of treatment with tamoxifen, the mean change in the expression of KI-67 in tumor tissue is associated with clinical efficacy of treatment. Primary Objective: Our objective is to study the response to treatment with TAM in preoperative (operative patients at the outset) patients with non-metastatic, HR+ breast cancer, by measuring the change in expression of KI- 67 in the tumor after 6 weeks of treatment, the polymorphic status of cytochrome 2D6 and the pharmacokinetics of active TAM metabolites. Secondary Objectives:-To evaluate the frequency of polymorphisms of genes involved in metabolism of tamoxifen in the study population (CYP2D6, CYP2C19, CYP1A1, CYP3A4, SULT1A1, UGT) - Assess changes in mitotic index as another potential marker for assessing the effectiveness of TAM - Assessing the molecular serum or early serum proteomics changes in their treatment as predictors of clinical response.   Methods: A phase II prospective multicenter study. There will be a cohort of 265 patients over a period of 3 years. Expected Results: - To assess the correlation between polymorphism of CYP2D6, the pharmacokinetics of TAM and its biological effectiveness. ",Ministère des Affaires sociales et de la Santé,DGOS_0397,Institut de Cancérologie de l'Ouest;Institute Curie,grid.418191.4;grid.418596.7,1103 Clinical Sciences;1112 Oncology and Carcinogenesis,Cancer;Genetics;Breast Cancer;Aging;Clinical Research,417165.0,2008-02-08,2011-02-08,Ministère des Affaires sociales et de la Santé,True,False,Institut de Cancérologie de l'Ouest;Institute Curie,True,Bernard ASSELAIN,"ASSELAIN, Bernard",2,5,False
