funder_name,rcdc_name_1_grnt,rcdc_name_1_pub,weight
Cancer Research UK,Aging,Aging,3
Cancer Research UK,Aging,Bioengineering,1
Cancer Research UK,Aging,Cancer,11
Cancer Research UK,Aging,Cervical Cancer,4
Cancer Research UK,Aging,Clinical Research,4
Cancer Research UK,Aging,Diagnostic Radiology,1
Cancer Research UK,Aging,Digestive Diseases,4
Cancer Research UK,Aging,Genetics,1
Cancer Research UK,Aging,HIV/AIDS,5
Cancer Research UK,Aging,Health Services,5
Cancer Research UK,Aging,Infant Mortality/ (LBW),2
Cancer Research UK,Aging,Infectious Diseases,2
Cancer Research UK,Aging,Liver Disease,1
Cancer Research UK,Aging,Ovarian Cancer,1
Cancer Research UK,Aging,Patient Safety,2
Cancer Research UK,Aging,Pediatric,2
Cancer Research UK,Aging,Perinatal - Birth - Preterm (LBW),1
Cancer Research UK,Aging,Prevention,5
Cancer Research UK,Aging,Prostate Cancer,4
Cancer Research UK,Aging,Rare Diseases,2
Cancer Research UK,Aging,Sexually Transmitted Diseases/Herpes,1
Cancer Research UK,Behavioral and Social Science,Acute Respiratory Distress Syndrome,1
Cancer Research UK,Behavioral and Social Science,Aging,2
Cancer Research UK,Behavioral and Social Science,Basic Behavioral and Social Science,2
Cancer Research UK,Behavioral and Social Science,Behavioral and Social Science,17
Cancer Research UK,Behavioral and Social Science,Biotechnology,1
Cancer Research UK,Behavioral and Social Science,Brain Disorders,2
Cancer Research UK,Behavioral and Social Science,Cancer,7
Cancer Research UK,Behavioral and Social Science,Chronic Liver Disease and Cirrhosis,1
Cancer Research UK,Behavioral and Social Science,Clinical Research,28
Cancer Research UK,Behavioral and Social Science,Clinical Trials and Supportive Activities,1
Cancer Research UK,Behavioral and Social Science,Conditions Affecting the Embryonic and Fetal Periods,1
Cancer Research UK,Behavioral and Social Science,Depression,1
Cancer Research UK,Behavioral and Social Science,Eye Disease And Disorders Of Vision,1
Cancer Research UK,Behavioral and Social Science,HIV/AIDS,1
Cancer Research UK,Behavioral and Social Science,Health Services,12
Cancer Research UK,Behavioral and Social Science,Infant Mortality/ (LBW),2
Cancer Research UK,Behavioral and Social Science,Infectious Diseases,2
Cancer Research UK,Behavioral and Social Science,Kidney Disease,2
Cancer Research UK,Behavioral and Social Science,Lung,6
Cancer Research UK,Behavioral and Social Science,Mental Health,4
Cancer Research UK,Behavioral and Social Science,Mind and Body,5
Cancer Research UK,Behavioral and Social Science,Pain Conditions - Chronic,6
Cancer Research UK,Behavioral and Social Science,Pain Research,11
Cancer Research UK,Behavioral and Social Science,Pediatric,2
Cancer Research UK,Behavioral and Social Science,Pediatric AIDS,1
Cancer Research UK,Behavioral and Social Science,Perinatal - Birth - Preterm (LBW),2
Cancer Research UK,Behavioral and Social Science,Perinatal - Neonatal Respiratory Distress Syndrome,1
Cancer Research UK,Behavioral and Social Science,Perinatal Period - Conditions Originating in Perinatal Period,5
Cancer Research UK,Behavioral and Social Science,Post-Traumatic Stress Disorder (PTSD),1
Cancer Research UK,Behavioral and Social Science,Prevention,2
Cancer Research UK,Behavioral and Social Science,Rare Diseases,1
Cancer Research UK,Behavioral and Social Science,Substance Abuse,1
Cancer Research UK,Behavioral and Social Science,Suicide Prevention,1
Cancer Research UK,Bioengineering,Aging,3
Cancer Research UK,Bioengineering,Bioengineering,34
Cancer Research UK,Bioengineering,Biotechnology,25
Cancer Research UK,Bioengineering,Breast Cancer,14
Cancer Research UK,Bioengineering,Cancer,90
Cancer Research UK,Bioengineering,Cervical Cancer,1
Cancer Research UK,Bioengineering,Clinical Research,12
Cancer Research UK,Bioengineering,Clinical Trials and Supportive Activities,1
Cancer Research UK,Bioengineering,Contraception/Reproduction,1
Cancer Research UK,Bioengineering,Dental/Oral and Craniofacial Disease,1
Cancer Research UK,Bioengineering,Diagnostic Radiology,16
Cancer Research UK,Bioengineering,Digestive Diseases,5
Cancer Research UK,Bioengineering,Emerging Infectious Diseases,1
Cancer Research UK,Bioengineering,Gene Therapy,1
Cancer Research UK,Bioengineering,Genetic Testing,1
Cancer Research UK,Bioengineering,Genetics,16
Cancer Research UK,Bioengineering,HIV/AIDS,1
Cancer Research UK,Bioengineering,Health Services,2
Cancer Research UK,Bioengineering,Heart Disease,1
Cancer Research UK,Bioengineering,Hematology,1
Cancer Research UK,Bioengineering,Immunization,1
Cancer Research UK,Bioengineering,Infectious Diseases,2
Cancer Research UK,Bioengineering,Injury (total) Accidents/Adverse Effects,1
Cancer Research UK,Bioengineering,Lung,1
Cancer Research UK,Bioengineering,Nanotechnology,6
Cancer Research UK,Bioengineering,Neurosciences,5
Cancer Research UK,Bioengineering,Nutrition,7
Cancer Research UK,Bioengineering,Orphan Drug,3
Cancer Research UK,Bioengineering,Ovarian Cancer,2
Cancer Research UK,Bioengineering,Patient Safety,1
Cancer Research UK,Bioengineering,Prevention,3
Cancer Research UK,Bioengineering,Prostate Cancer,2
Cancer Research UK,Bioengineering,Rare Diseases,20
Cancer Research UK,Bioengineering,Regenerative Medicine,2
Cancer Research UK,Bioengineering,Sexually Transmitted Diseases/Herpes,1
Cancer Research UK,Bioengineering,Stem Cell Research,2
Cancer Research UK,Bioengineering,Stem Cell Research - Nonembryonic - Human,1
Cancer Research UK,Bioengineering,Urologic Diseases,2
Cancer Research UK,Bioengineering,Vaccine Related,4
Cancer Research UK,Biotechnology,Agent Orange & Dioxin,1
Cancer Research UK,Biotechnology,Aging,7
Cancer Research UK,Biotechnology,Arthritis,1
Cancer Research UK,Biotechnology,Autoimmune Disease,3
Cancer Research UK,Biotechnology,Basic Behavioral and Social Science,1
Cancer Research UK,Biotechnology,Behavioral and Social Science,2
Cancer Research UK,Biotechnology,Bioengineering,18
Cancer Research UK,Biotechnology,Biotechnology,75
Cancer Research UK,Biotechnology,Brain Cancer,3
Cancer Research UK,Biotechnology,Brain Disorders,9
Cancer Research UK,Biotechnology,Breast Cancer,26
Cancer Research UK,Biotechnology,Cancer,376
Cancer Research UK,Biotechnology,Cardiovascular,1
Cancer Research UK,Biotechnology,Cervical Cancer,2
Cancer Research UK,Biotechnology,Childhood Leukemia,2
Cancer Research UK,Biotechnology,Chronic Liver Disease and Cirrhosis,2
Cancer Research UK,Biotechnology,Climate-Related Exposures and Conditions,1
Cancer Research UK,Biotechnology,Clinical Research,45
Cancer Research UK,Biotechnology,Clinical Trials and Supportive Activities,24
Cancer Research UK,Biotechnology,Colo-Rectal Cancer,6
Cancer Research UK,Biotechnology,Dementia,1
Cancer Research UK,Biotechnology,Dental/Oral and Craniofacial Disease,3
Cancer Research UK,Biotechnology,Diabetes,2
Cancer Research UK,Biotechnology,Diagnostic Radiology,10
Cancer Research UK,Biotechnology,Digestive Diseases,19
Cancer Research UK,Biotechnology,Emerging Infectious Diseases,7
Cancer Research UK,Biotechnology,Estrogen,5
Cancer Research UK,Biotechnology,Genetic Testing,1
Cancer Research UK,Biotechnology,Genetics,121
Cancer Research UK,Biotechnology,HIV/AIDS,2
Cancer Research UK,Biotechnology,Health Services,2
Cancer Research UK,Biotechnology,Hematology,7
Cancer Research UK,Biotechnology,Human Genome,10
Cancer Research UK,Biotechnology,Immunization,5
Cancer Research UK,Biotechnology,Infectious Diseases,11
Cancer Research UK,Biotechnology,Injury (total) Accidents/Adverse Effects,1
Cancer Research UK,Biotechnology,Kidney Disease,9
Cancer Research UK,Biotechnology,Liver Disease,3
Cancer Research UK,Biotechnology,Lung,11
Cancer Research UK,Biotechnology,Lung Cancer,8
Cancer Research UK,Biotechnology,Lymphoma,1
Cancer Research UK,Biotechnology,Malaria,2
Cancer Research UK,Biotechnology,Nanotechnology,2
Cancer Research UK,Biotechnology,Networking and Information Technology R&D,2
Cancer Research UK,Biotechnology,Neurodegenerative,4
Cancer Research UK,Biotechnology,Neurosciences,4
Cancer Research UK,Biotechnology,Nutrition,6
Cancer Research UK,Biotechnology,Orphan Drug,4
Cancer Research UK,Biotechnology,Ovarian Cancer,5
Cancer Research UK,Biotechnology,Pancreatic Cancer,1
Cancer Research UK,Biotechnology,Patient Safety,5
Cancer Research UK,Biotechnology,Pediatric,7
Cancer Research UK,Biotechnology,Pediatric Cancer,1
Cancer Research UK,Biotechnology,Pediatric Research Initiative,1
Cancer Research UK,Biotechnology,Prevention,17
Cancer Research UK,Biotechnology,Prostate Cancer,11
Cancer Research UK,Biotechnology,Rare Diseases,60
Cancer Research UK,Biotechnology,Regenerative Medicine,5
Cancer Research UK,Biotechnology,Stem Cell Research,14
Cancer Research UK,Biotechnology,Stem Cell Research - Embryonic - Non-Human,3
Cancer Research UK,Biotechnology,Stem Cell Research - Induced Pluripotent Stem Cell,1
Cancer Research UK,Biotechnology,Stem Cell Research - Nonembryonic - Human,3
Cancer Research UK,Biotechnology,Stem Cell Research - Nonembryonic - Non-Human,1
Cancer Research UK,Biotechnology,Stroke,1
Cancer Research UK,Biotechnology,Substance Abuse,1
Cancer Research UK,Biotechnology,Transplantation,2
Cancer Research UK,Biotechnology,Urologic Diseases,13
Cancer Research UK,Biotechnology,Vaccine Related,9
Cancer Research UK,Biotechnology,Vector-Borne Diseases,2
Cancer Research UK,Brain Disorders,Biodefense,1
Cancer Research UK,Brain Disorders,Biotechnology,1
Cancer Research UK,Brain Disorders,Brain Disorders,5
Cancer Research UK,Brain Disorders,Breast Cancer,1
Cancer Research UK,Brain Disorders,Cancer,13
Cancer Research UK,Brain Disorders,Cardiovascular,1
Cancer Research UK,Brain Disorders,Clinical Research,1
Cancer Research UK,Brain Disorders,Diagnostic Radiology,1
Cancer Research UK,Brain Disorders,Genetics,2
Cancer Research UK,Brain Disorders,Multiple Sclerosis,1
Cancer Research UK,Brain Disorders,Nanotechnology,1
Cancer Research UK,Brain Disorders,Neurosciences,2
Cancer Research UK,Brain Disorders,Pediatric,1
Cancer Research UK,Brain Disorders,Pediatric Research Initiative,1
Cancer Research UK,Brain Disorders,Rare Diseases,1
Cancer Research UK,Brain Disorders,Stem Cell Research,1
Cancer Research UK,Breast Cancer,Breast Cancer,5
Cancer Research UK,Breast Cancer,Cancer,7
Cancer Research UK,Breast Cancer,Clinical Research,2
Cancer Research UK,Breast Cancer,Clinical Trials and Supportive Activities,4
Cancer Research UK,Breast Cancer,Genetics,1
Cancer Research UK,Breast Cancer,Prevention,1
Cancer Research UK,Burden of Illness,"Alcoholism, Alcohol Use and Health",1
Cancer Research UK,Burden of Illness,Basic Behavioral and Social Science,1
Cancer Research UK,Burden of Illness,Behavioral and Social Science,1
Cancer Research UK,Burden of Illness,Brain Disorders,1
Cancer Research UK,Burden of Illness,Cancer,1
Cancer Research UK,Burden of Illness,Clinical Research,2
Cancer Research UK,Burden of Illness,Clinical Trials and Supportive Activities,1
Cancer Research UK,Burden of Illness,Emerging Infectious Diseases,1
