funder_name,grnt_rcdc,pub_rcdc,nb_grnts,nb_obs,nb_pubs
Cancer Research UK,,,590,4925,3436
Cancer Research UK,,Acquired Cognitive Impairment,2,3,3
Cancer Research UK,,Aging,61,195,105
Cancer Research UK,,"Alcoholism, Alcohol Use and Health",3,3,2
Cancer Research UK,,Alzheimer's Disease,5,5,4
Cancer Research UK,,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),2,2,1
Cancer Research UK,,Antimicrobial Resistance,4,4,3
Cancer Research UK,,Arthritis,6,6,3
Cancer Research UK,,Assistive Technology,2,2,2
Cancer Research UK,,Asthma,2,7,7
Cancer Research UK,,Ataxia Telangiectasia,2,2,2
Cancer Research UK,,Atherosclerosis,1,1,1
Cancer Research UK,,Attention Deficit Disorder (ADD),2,2,1
Cancer Research UK,,Autoimmune Disease,18,26,24
Cancer Research UK,,Basic Behavioral and Social Science,13,19,12
Cancer Research UK,,Behavioral and Social Science,21,54,43
Cancer Research UK,,Biodefense,11,12,10
Cancer Research UK,,Bioengineering,54,103,90
Cancer Research UK,,Biotechnology,128,263,200
Cancer Research UK,,Brain Cancer,7,8,6
Cancer Research UK,,Brain Disorders,35,50,42
Cancer Research UK,,Breast Cancer,82,301,178
Cancer Research UK,,Cancer,276,2303,1588
Cancer Research UK,,Cardiovascular,32,50,39
Cancer Research UK,,Cervical Cancer,12,15,11
Cancer Research UK,,Childhood Leukemia,8,11,10
Cancer Research UK,,Chronic Liver Disease and Cirrhosis,3,6,6
Cancer Research UK,,Climate-Related Exposures and Conditions,3,4,3
Cancer Research UK,,Clinical Research,150,500,356
Cancer Research UK,,Clinical Trials and Supportive Activities,70,119,80
Cancer Research UK,,Colo-Rectal Cancer,42,80,55
Cancer Research UK,,Comparative Effectiveness Research,17,23,20
Cancer Research UK,,Complementary and Alternative Medicine,7,8,6
Cancer Research UK,,Conditions Affecting the Embryonic and Fetal Periods,1,1,1
Cancer Research UK,,Congenital Structural Anomalies,4,4,4
Cancer Research UK,,Contraception/Reproduction,11,12,10
Cancer Research UK,,Cost Effectiveness Research,4,5,4
Cancer Research UK,,Crohn's Disease,1,1,1
Cancer Research UK,,Dementia,4,4,3
Cancer Research UK,,Dental/Oral and Craniofacial Disease,27,53,41
Cancer Research UK,,Depression,8,14,10
Cancer Research UK,,Diabetes,22,42,34
Cancer Research UK,,Diagnostic Radiology,45,166,140
Cancer Research UK,,Digestive Diseases,91,208,156
Cancer Research UK,,Digestive Diseases - (Peptic Ulcer),1,1,1
Cancer Research UK,,Down Syndrome,2,2,1
Cancer Research UK,,Drug Abuse (NIDA Only),3,8,7
Cancer Research UK,,Emerging Infectious Diseases,25,36,32
Cancer Research UK,,Estrogen,22,27,14
Cancer Research UK,,Eye Disease And Disorders Of Vision,2,2,2
Cancer Research UK,,Food Allergies,1,1,1
