="",="(1)",="(2)",="(3)",="(4)"
="",="Residuals",="Residuals",="Residuals",="Residuals"
="post_flag=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="-27.364***",="-26.503***",="-24.446***",="-26.131***"
="",="(2.461)",="(2.466)",="(2.786)",="(2.641)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-18.768***",="-18.888***",="-16.397**",="0.000"
="",="(2.738)",="(2.738)",="(6.970)",="(.)"
="National Cancer Institute",="1.952",="1.926",="8.360*",="0.000"
="",="(1.949)",="(1.949)",="(5.047)",="(.)"
="National Health and Medical Rese",="-8.854***",="-8.853***",="-2.336",="0.000"
="",="(2.305)",="(2.304)",="(5.372)",="(.)"
="Wellcome Trust",="-5.560",="-5.466",="-5.032",="0.000"
="",="(4.274)",="(4.273)",="(8.803)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="8.564**",="8.455**",="8.151**",="8.072**"
="",="(3.621)",="(3.621)",="(3.698)",="(3.627)"
="post_flag=1 # National Cancer Institute",="-4.366*",="-4.427*",="-5.644*",="-6.331**"
="",="(2.589)",="(2.589)",="(3.038)",="(2.839)"
="post_flag=1 # National Health and Medical Rese",="1.456",="1.415",="0.572",="0.645"
="",="(3.056)",="(3.055)",="(3.194)",="(3.095)"
="post_flag=1 # Wellcome Trust",="6.627",="6.227",="5.640",="6.427"
="",="(5.537)",="(5.536)",="(6.575)",="(5.953)"
="start_year=2007",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.248",="-0.370",="0.225",=""
="",="(1.093)",="(1.094)",="(2.226)",=""
="start_year=2009",="-0.873",="-0.762",="-1.599",=""
="",="(1.061)",="(1.061)",="(2.772)",=""
="start_year=2010",="-0.436",="-0.545",="-0.330",=""
="",="(1.152)",="(1.152)",="(2.334)",=""
="start_year=2011",="0.254",="0.198",="1.195",=""
="",="(1.152)",="(1.151)",="(2.153)",=""
="start_year=2012",="0.588",="0.460",="-0.925",=""
="",="(1.190)",="(1.190)",="(2.194)",=""
="rsr_career_age",="",="-0.190***",="-0.389***",=""
="",="",="(0.037)",="(0.080)",=""
="Constant",="18.217***",="20.698***",="17.570***",="17.035***"
="",="(1.929)",="(1.989)",="(4.571)",="(0.464)"
="Observations",="78687",="78687",="78687",="78687"
="CountryFE",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="Yes",="No"
="ResearcherFE",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
