="",="(1)",="(2)",="(3)",="(4)"
="",="Residuals",="Residuals",="Residuals",="Residuals"
="post_flag=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="1.301***",="0.914***",="0.930***",="1.301***"
="",="(0.071)",="(0.070)",="(0.097)",="(0.091)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-0.189**",="-0.121",="-0.453",="0.000"
="",="(0.078)",="(0.076)",="(0.539)",="(.)"
="National Cancer Institute",="-0.486***",="-0.458***",="-0.252*",="0.000"
="",="(0.056)",="(0.054)",="(0.150)",="(.)"
="National Health and Medical Rese",="-0.057",="-0.040",="0.083",="0.000"
="",="(0.065)",="(0.064)",="(0.207)",="(.)"
="Wellcome Trust",="-0.503***",="-0.239**",="-0.096",="0.000"
="",="(0.108)",="(0.105)",="(0.191)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="0.096",="0.096",="0.096",="0.096"
="",="(0.105)",="(0.102)",="(0.144)",="(0.133)"
="post_flag=1 # National Cancer Institute",="-0.448***",="-0.448***",="-0.448***",="-0.448***"
="",="(0.075)",="(0.073)",="(0.101)",="(0.094)"
="post_flag=1 # National Health and Medical Rese",="0.139",="0.139",="0.139",="0.139"
="",="(0.088)",="(0.086)",="(0.129)",="(0.121)"
="post_flag=1 # Wellcome Trust",="0.130",="0.130",="0.130",="0.130"
="",="(0.146)",="(0.142)",="(0.219)",="(0.219)"
="start_year=2007",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",=""
="start_year=2008",="0.055*",="0.096***",="0.146**",=""
="",="(0.032)",="(0.031)",="(0.066)",=""
="start_year=2009",="0.101***",="0.052*",="0.086",=""
="",="(0.031)",="(0.030)",="(0.078)",=""
="start_year=2010",="0.086***",="0.104***",="0.097",=""
="",="(0.033)",="(0.033)",="(0.083)",=""
="start_year=2011",="0.026",="0.038",="0.119",=""
="",="(0.033)",="(0.032)",="(0.098)",=""
="start_year=2012",="0.048",="0.113***",="0.133",=""
="",="(0.034)",="(0.033)",="(0.083)",=""
="rsr_career_age",="",="0.070***",="0.067***",=""
="",="",="(0.001)",="(0.003)",=""
="Constant",="-0.233***",="-1.013***",="-1.155***",="-0.554***"
="",="(0.055)",="(0.055)",="(0.146)",="(0.013)"
="Observations",="94842",="94842",="94842",="94842"
="CountryFE",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="Yes",="No"
="ResearcherFE",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
