="",="(1)",="(2)",="(3)",="(4)"
="",="Residuals",="Residuals",="Residuals",="Residuals"
="post_flag=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="18.451***",="11.734***",="11.682***",="18.451***"
="",="(1.453)",="(1.430)",="(2.041)",="(2.024)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="4.105***",="5.284***",="-0.416",="0.000"
="",="(1.580)",="(1.550)",="(8.074)",="(.)"
="National Cancer Institute",="0.589",="1.087",="4.325",="0.000"
="",="(1.131)",="(1.109)",="(3.108)",="(.)"
="National Health and Medical Rese",="0.734",="1.024",="4.637",="0.000"
="",="(1.332)",="(1.307)",="(3.665)",="(.)"
="Wellcome Trust",="-5.587**",="-0.993",="1.588",="0.000"
="",="(2.192)",="(2.152)",="(3.400)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="6.272***",="6.272***",="6.272**",="6.272**"
="",="(2.136)",="(2.096)",="(2.681)",="(2.634)"
="post_flag=1 # National Cancer Institute",="0.249",="0.249",="0.249",="0.249"
="",="(1.528)",="(1.499)",="(2.118)",="(2.099)"
="post_flag=1 # National Health and Medical Rese",="2.576",="2.576",="2.576",="2.576"
="",="(1.802)",="(1.767)",="(2.689)",="(2.590)"
="post_flag=1 # Wellcome Trust",="2.204",="2.204",="2.204",="2.204"
="",="(2.964)",="(2.907)",="(4.805)",="(4.675)"
="start_year=2007",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",=""
="start_year=2008",="0.210",="0.936",="2.272*",=""
="",="(0.641)",="(0.629)",="(1.374)",=""
="start_year=2009",="0.270",="-0.589",="0.977",=""
="",="(0.626)",="(0.614)",="(1.629)",=""
="start_year=2010",="0.205",="0.512",="1.015",=""
="",="(0.680)",="(0.667)",="(1.715)",=""
="start_year=2011",="0.049",="0.260",="2.696",=""
="",="(0.678)",="(0.666)",="(2.005)",=""
="start_year=2012",="-0.019",="1.118",="3.111*",=""
="",="(0.694)",="(0.681)",="(1.621)",=""
="rsr_career_age",="",="1.221***",="1.231***",=""
="",="",="(0.020)",="(0.071)",=""
="Constant",="-11.367***",="-24.909***",="-28.718***",="-10.598***"
="",="(1.123)",="(1.124)",="(3.040)",="(0.270)"
="Observations",="94842",="94842",="94842",="94842"
="CountryFE",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="Yes",="No"
="ResearcherFE",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
