="",="(1)",="(2)",="(3)",="(4)"
="",="Residuals",="Residuals",="Residuals",="Residuals"
="post_flag=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="1.727***",="0.479**",="0.483**",="1.727***"
="",="(0.199)",="(0.193)",="(0.189)",="(0.164)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="0.394*",="0.613***",="-0.866",="0.000"
="",="(0.217)",="(0.209)",="(0.973)",="(.)"
="National Cancer Institute",="0.461***",="0.554***",="0.783*",="0.000"
="",="(0.155)",="(0.150)",="(0.458)",="(.)"
="National Health and Medical Rese",="-0.004",="0.050",="0.334",="0.000"
="",="(0.183)",="(0.176)",="(0.723)",="(.)"
="Wellcome Trust",="-0.678**",="0.175",="-0.096",="0.000"
="",="(0.301)",="(0.290)",="(0.472)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="1.327***",="1.327***",="1.327***",="1.327***"
="",="(0.293)",="(0.283)",="(0.352)",="(0.319)"
="post_flag=1 # National Cancer Institute",="0.419**",="0.419**",="0.419**",="0.419**"
="",="(0.209)",="(0.202)",="(0.199)",="(0.176)"
="post_flag=1 # National Health and Medical Rese",="0.937***",="0.937***",="0.937***",="0.937***"
="",="(0.247)",="(0.238)",="(0.234)",="(0.209)"
="post_flag=1 # Wellcome Trust",="-0.059",="-0.059",="-0.059",="-0.059"
="",="(0.406)",="(0.392)",="(0.353)",="(0.335)"
="start_year=2007",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.015",="0.120",="0.151",=""
="",="(0.088)",="(0.085)",="(0.257)",=""
="start_year=2009",="-0.038",="-0.197**",="-0.068",=""
="",="(0.086)",="(0.083)",="(0.256)",=""
="start_year=2010",="-0.028",="0.029",="-0.023",=""
="",="(0.093)",="(0.090)",="(0.305)",=""
="start_year=2011",="-0.009",="0.031",="0.181",=""
="",="(0.093)",="(0.090)",="(0.300)",=""
="start_year=2012",="-0.036",="0.176*",="0.301",=""
="",="(0.095)",="(0.092)",="(0.243)",=""
="rsr_career_age",="",="0.227***",="0.226***",=""
="",="",="(0.003)",="(0.010)",=""
="Constant",="-1.530***",="-4.046***",="-4.201***",="-1.218***"
="",="(0.154)",="(0.152)",="(0.432)",="(0.028)"
="Observations",="94842",="94842",="94842",="94842"
="CountryFE",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="Yes",="No"
="ResearcherFE",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
="",="(1)",="(2)",="(3)",="(4)"
="",="Residuals",="Residuals",="Residuals",="Residuals"
="post_flag=0",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="1.727***",="0.479**",="0.483**",="1.727***"
="",="(0.199)",="(0.193)",="(0.189)",="(0.164)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="0.394*",="0.613***",="-0.866",="0.000"
="",="(0.217)",="(0.209)",="(0.973)",="(.)"
="National Cancer Institute",="0.461***",="0.554***",="0.783*",="0.000"
="",="(0.155)",="(0.150)",="(0.458)",="(.)"
="National Health and Medical Rese",="-0.004",="0.050",="0.334",="0.000"
="",="(0.183)",="(0.176)",="(0.723)",="(.)"
="Wellcome Trust",="-0.678**",="0.175",="-0.096",="0.000"
="",="(0.301)",="(0.290)",="(0.472)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="1.327***",="1.327***",="1.327***",="1.327***"
="",="(0.293)",="(0.283)",="(0.352)",="(0.319)"
="post_flag=1 # National Cancer Institute",="0.419**",="0.419**",="0.419**",="0.419**"
="",="(0.209)",="(0.202)",="(0.199)",="(0.176)"
="post_flag=1 # National Health and Medical Rese",="0.937***",="0.937***",="0.937***",="0.937***"
="",="(0.247)",="(0.238)",="(0.234)",="(0.209)"
="post_flag=1 # Wellcome Trust",="-0.059",="-0.059",="-0.059",="-0.059"
="",="(0.406)",="(0.392)",="(0.353)",="(0.335)"
="start_year=2007",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.015",="0.120",="0.151",=""
="",="(0.088)",="(0.085)",="(0.257)",=""
="start_year=2009",="-0.038",="-0.197**",="-0.068",=""
="",="(0.086)",="(0.083)",="(0.256)",=""
="start_year=2010",="-0.028",="0.029",="-0.023",=""
="",="(0.093)",="(0.090)",="(0.305)",=""
="start_year=2011",="-0.009",="0.031",="0.181",=""
="",="(0.093)",="(0.090)",="(0.300)",=""
="start_year=2012",="-0.036",="0.176*",="0.301",=""
="",="(0.095)",="(0.092)",="(0.243)",=""
="rsr_career_age",="",="0.227***",="0.226***",=""
="",="",="(0.003)",="(0.010)",=""
="Constant",="-1.530***",="-4.046***",="-4.201***",="-1.218***"
="",="(0.154)",="(0.152)",="(0.432)",="(0.028)"
="Observations",="94842",="94842",="94842",="94842"
="CountryFE",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="Yes",="No"
="ResearcherFE",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
