="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Residuals",="Residuals",="Residuals",="Residuals",="Residuals",="Residuals",="Residuals",="Residuals"
="post_flag=0",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=1",="1.853***",="",="0.492***",="",="0.495***",="",="1.853***",=""
="",="(0.180)",="",="(0.174)",="",="(0.170)",="",="(0.145)",=""
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="1.381***",="1.381***",="1.341***",="1.341***",="-0.025",="-0.024",="0.000",="0.000"
="",="(0.170)",="(0.170)",="(0.163)",="(0.163)",="(0.777)",="(0.777)",="(.)",="(.)"
="National Cancer Institute",="0.694***",="0.694***",="0.842***",="0.842***",="0.966***",="0.967***",="0.000",="0.000"
="",="(0.128)",="(0.128)",="(0.123)",="(0.123)",="(0.369)",="(0.369)",="(.)",="(.)"
="National Health and Medical Rese",="0.208",="0.208",="0.358**",="0.357**",="1.173**",="1.174**",="0.000",="0.000"
="",="(0.152)",="(0.152)",="(0.146)",="(0.146)",="(0.563)",="(0.563)",="(.)",="(.)"
="Wellcome Trust",="-0.596**",="-0.596**",="0.943***",="0.941***",="0.898**",="0.895**",="0.000",="0.000"
="",="(0.258)",="(0.258)",="(0.249)",="(0.249)",="(0.396)",="(0.396)",="(.)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=0 # National Cancer Institute",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=0 # National Health and Medical Rese",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
