="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub"
="post_flag=0",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1",="-27.259***",="",="",="-26.458***",="",="",="-24.958***",="",="",="-26.449***",="",=""
="",="(1.969)",="",="",="(1.973)",="",="",="(2.251)",="",="",="(2.111)",="",=""
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-20.322***",="-20.326***",="-17.723***",="-20.272***",="-20.311***",="-17.655***",="-25.893***",="-25.987***",="-23.130***",="0.000",="0.000",="0.000"
="",="(1.932)",="(1.929)",="(4.766)",="(1.932)",="(1.928)",="(4.766)",="(5.591)",="(5.596)",="(7.414)",="(.)",="(.)",="(.)"
="National Cancer Institute",="1.232",="1.239",="7.067**",="1.005",="1.014",="6.922*",="3.768",="3.638",="9.895*",="0.000",="0.000",="0.000"
="",="(1.422)",="(1.419)",="(3.587)",="(1.422)",="(1.419)",="(3.587)",="(4.377)",="(4.375)",="(5.972)",="(.)",="(.)",="(.)"
="National Health and Medical Rese",="-6.658***",="-6.655***",="-3.944",="-6.791***",="-6.774***",="-3.999",="1.262",="1.118",="4.218",="0.000",="0.000",="0.000"
="",="(1.691)",="(1.688)",="(4.297)",="(1.691)",="(1.688)",="(4.297)",="(4.903)",="(4.884)",="(6.247)",="(.)",="(.)",="(.)"
="Wellcome Trust",="-3.391",="-3.385",="-4.944",="-3.619",="-3.605",="-4.927",="-3.731",="-3.607",="-5.278",="0.000",="0.000",="0.000"
="",="(3.203)",="(3.197)",="(8.298)",="(3.202)",="(3.196)",="(8.297)",="(7.502)",="(7.518)",="(8.144)",="(.)",="(.)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Cancer Institute",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Health and Medical Rese",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # Wellcome Trust",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # INCa/INSERM/DGOS",="7.975***",="",="",="7.767***",="",="",="7.453***",="",="",="7.533***",="",=""
="",="(2.728)",="",="",="(2.728)",="",="",="(2.635)",="",="",="(2.572)",="",=""
="post_flag=1 # National Cancer Institute",="-3.388",="",="",="-3.414*",="",="",="-4.329*",="",="",="-4.963**",="",=""
="",="(2.067)",="",="",="(2.066)",="",="",="(2.414)",="",="",="(2.230)",="",=""
="post_flag=1 # National Health and Medical Rese",="0.750",="",="",="0.776",="",="",="0.334",="",="",="0.363",="",=""
="",="(2.457)",="",="",="(2.456)",="",="",="(2.515)",="",="",="(2.442)",="",=""
="post_flag=1 # Wellcome Trust",="6.051",="",="",="5.441",="",="",="4.716",="",="",="5.646",="",=""
="",="(4.527)",="",="",="(4.526)",="",="",="(5.632)",="",="",="(4.997)",="",=""
="False",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="True",="8.258***",="8.290***",="8.287***",="8.490***",="8.518***",="8.485***",="9.683**",="9.613**",="9.486**",="",="",=""
="",="(2.429)",="(2.425)",="(2.420)",="(2.429)",="(2.425)",="(2.420)",="(4.370)",="(4.347)",="(4.319)",="",="",=""
="start_year=2007",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="start_year=2008",="-6.545***",="-6.551***",="-6.529***",="-6.702***",="-6.673***",="-6.614***",="-6.430***",="-6.388***",="-6.318***",="",="",=""
="",="(0.854)",="(0.853)",="(0.851)",="(0.854)",="(0.853)",="(0.851)",="(1.719)",="(1.720)",="(1.715)",="",="",=""
="start_year=2009",="-5.990***",="-6.048***",="-6.093***",="-6.001***",="-6.106***",="-6.178***",="-6.732***",="-6.868***",="-6.969***",="",="",=""
="",="(0.823)",="(0.821)",="(0.820)",="(0.823)",="(0.822)",="(0.820)",="(2.400)",="(2.404)",="(2.406)",="",="",=""
="start_year=2010",="-14.199***",="-14.203***",="-14.186***",="-14.305***",="-14.281***",="-14.236***",="-14.733***",="-14.687***",="-14.611***",="",="",=""
="",="(0.898)",="(0.897)",="(0.895)",="(0.898)",="(0.897)",="(0.895)",="(1.833)",="(1.828)",="(1.828)",="",="",=""
