="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries"
="post_flag=0",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1",="1.366***",="",="",="0.957***",="",="",="0.979***",="",="",="1.366***",="",=""
="",="(0.062)",="",="",="(0.061)",="",="",="(0.090)",="",="",="(0.084)",="",=""
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="0.015",="0.015",="-0.042",="0.011",="0.012",="-0.048",="-0.422",="-0.420",="-0.479",="0.000",="0.000",="0.000"
="",="(0.060)",="(0.060)",="(0.144)",="(0.059)",="(0.059)",="(0.140)",="(0.417)",="(0.417)",="(0.419)",="(.)",="(.)",="(.)"
="National Cancer Institute",="-0.522***",="-0.522***",="-0.392***",="-0.484***",="-0.484***",="-0.356***",="-0.242*",="-0.238*",="-0.107",="0.000",="0.000",="0.000"
="",="(0.044)",="(0.044)",="(0.108)",="(0.043)",="(0.043)",="(0.105)",="(0.133)",="(0.133)",="(0.143)",="(.)",="(.)",="(.)"
="National Health and Medical Rese",="-0.022",="-0.022",="-0.036",="0.020",="0.019",="0.008",="0.319*",="0.324*",="0.314*",="0.000",="0.000",="0.000"
="",="(0.053)",="(0.052)",="(0.128)",="(0.051)",="(0.051)",="(0.125)",="(0.171)",="(0.172)",="(0.181)",="(.)",="(.)",="(.)"
="Wellcome Trust",="-0.408***",="-0.408***",="-0.395*",="0.025",="0.019",="0.058",="0.107",="0.100",="0.125",="0.000",="0.000",="0.000"
="",="(0.089)",="(0.089)",="(0.217)",="(0.087)",="(0.087)",="(0.212)",="(0.172)",="(0.172)",="(0.175)",="(.)",="(.)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Cancer Institute",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Health and Medical Rese",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # Wellcome Trust",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # INCa/INSERM/DGOS",="0.063",="",="",="0.069",="",="",="0.068",="",="",="0.063",="",=""
="",="(0.087)",="",="",="(0.085)",="",="",="(0.127)",="",="",="(0.118)",="",=""
="post_flag=1 # National Cancer Institute",="-0.445***",="",="",="-0.446***",="",="",="-0.446***",="",="",="-0.445***",="",=""
="",="(0.066)",="",="",="(0.064)",="",="",="(0.096)",="",="",="(0.088)",="",=""
="post_flag=1 # National Health and Medical Rese",="0.051",="",="",="0.043",="",="",="0.045",="",="",="0.051",="",=""
="",="(0.078)",="",="",="(0.076)",="",="",="(0.116)",="",="",="(0.110)",="",=""
="post_flag=1 # Wellcome Trust",="0.304**",="",="",="0.224*",="",="",="0.243",="",="",="0.304",="",=""
="",="(0.132)",="",="",="(0.129)",="",="",="(0.211)",="",="",="(0.219)",="",=""
="False",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
