="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs"
="post_flag=0",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1",="19.962***",="",="",="12.881***",="",="",="12.942***",="",="",="19.962***",="",=""
="",="(1.258)",="",="",="(1.235)",="",="",="(1.891)",="",="",="(1.785)",="",=""
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="9.760***",="9.760***",="6.725**",="9.692***",="9.709***",="6.620**",="3.710",="3.746",="0.680",="0.000",="0.000",="0.000"
="",="(1.216)",="(1.212)",="(2.894)",="(1.191)",="(1.188)",="(2.840)",="(6.017)",="(6.002)",="(6.107)",="(.)",="(.)",="(.)"
="National Cancer Institute",="1.405",="1.405",="0.494",="2.059**",="2.061**",="1.140",="5.310**",="5.399**",="4.527*",="0.000",="0.000",="0.000"
="",="(0.892)",="(0.889)",="(2.170)",="(0.874)",="(0.872)",="(2.130)",="(2.437)",="(2.430)",="(2.533)",="(.)",="(.)",="(.)"
="National Health and Medical Rese",="0.933",="0.933",="0.560",="1.655",="1.644",="1.321",="7.801**",="7.895**",="7.608**",="0.000",="0.000",="0.000"
="",="(1.060)",="(1.056)",="(2.580)",="(1.038)",="(1.036)",="(2.532)",="(3.178)",="(3.182)",="(3.563)",="(.)",="(.)",="(.)"
="Wellcome Trust",="-4.523**",="-4.523**",="-5.174",="2.999*",="2.874",="2.681",="4.956*",="4.787*",="4.381",="0.000",="0.000",="0.000"
="",="(1.800)",="(1.794)",="(4.383)",="(1.767)",="(1.764)",="(4.304)",="(2.908)",="(2.898)",="(2.917)",="(.)",="(.)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Cancer Institute",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Health and Medical Rese",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # Wellcome Trust",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # INCa/INSERM/DGOS",="4.895***",="",="",="5.009***",="",="",="4.984**",="",="",="4.895**",="",=""
="",="(1.752)",="",="",="(1.715)",="",="",="(2.338)",="",="",="(2.232)",="",=""
="post_flag=1 # National Cancer Institute",="0.126",="",="",="0.107",="",="",="0.111",="",="",="0.126",="",=""
="",="(1.319)",="",="",="(1.292)",="",="",="(1.977)",="",="",="(1.859)",="",=""
="post_flag=1 # National Health and Medical Rese",="2.064",="",="",="1.915",="",="",="1.947",="",="",="2.064",="",=""
="",="(1.569)",="",="",="(1.537)",="",="",="(2.431)",="",="",="(2.297)",="",=""
="post_flag=1 # Wellcome Trust",="5.617**",="",="",="4.222",="",="",="4.519",="",="",="5.617",="",=""
="",="(2.665)",="",="",="(2.611)",="",="",="(4.873)",="",="",="(4.896)",="",=""
="False",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="True",="-2.576",="-2.576",="-2.576",="-3.682**",="-3.676**",="-3.648**",="-3.196",="-3.129",="-3.059",="",="",=""
="",="(1.578)",="(1.573)",="(1.571)",="(1.546)",="(1.543)",="(1.542)",="(4.547)",="(4.563)",="(4.575)",="",="",=""
="start_year=2007",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="start_year=2008",="-0.050",="-0.050",="-0.050",="0.744",="0.726",="0.710",="1.693",="1.672",="1.651",="",="",=""
="",="(0.542)",="(0.540)",="(0.539)",="(0.531)",="(0.529)",="(0.529)",="(1.304)",="(1.304)",="(1.305)",="",="",=""
="start_year=2009",="5.051***",="5.051***",="5.051***",="4.188***",="4.228***",="4.239***",="5.088***",="5.159***",="5.184***",="",="",=""
="",="(0.525)",="(0.523)",="(0.522)",="(0.514)",="(0.513)",="(0.513)",="(1.392)",="(1.395)",="(1.395)",="",="",=""
="start_year=2010",="4.790***",="4.790***",="4.790***",="5.178***",="5.167***",="5.160***",="5.105***",="5.079***",="5.064***",="",="",=""
="",="(0.571)",="(0.569)",="(0.569)",="(0.559)",="(0.558)",="(0.558)",="(1.381)",="(1.382)",="(1.381)",="",="",=""
="start_year=2011",="6.448***",="6.448***",="6.448***",="7.003***",="6.992***",="6.981***",="8.100***",="8.109***",="8.098***",="",="",=""
="",="(0.579)",="(0.577)",="(0.576)",="(0.567)",="(0.565)",="(0.565)",="(1.661)",="(1.661)",="(1.662)",="",="",=""
="start_year=2012",="5.036***",="5.036***",="5.036***",="6.505***",="6.479***",="6.448***",="7.786***",="7.755***",="7.703***",="",="",=""
="",="(0.594)",="(0.592)",="(0.591)",="(0.582)",="(0.581)",="(0.581)",="(1.380)",="(1.380)",="(1.381)",="",="",=""
="post_0",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1",="",="8.704***",="",="",="4.034*",="",="",="4.213***",="",="",="8.704***",=""
="",="",="(2.236)",="",="",="(2.193)",="",="",="(0.963)",="",="",="(0.881)",=""
="post_2",="",="14.419***",="",="",="8.581***",="",="",="8.777***",="",="",="14.419***",=""
="",="",="(2.236)",="",="",="(2.194)",="",="",="(1.633)",="",="",="(1.531)",=""
="post_3",="",="17.378***",="",="",="10.432***",="",="",="10.631***",="",="",="17.378***",=""
="",="",="(2.236)",="",="",="(2.194)",="",="",="(1.913)",="",="",="(1.762)",=""
="post_4",="",="27.993***",="",="",="20.003***",="",="",="20.192***",="",="",="27.993***",=""
="",="",="(2.236)",="",="",="(2.195)",="",="",="(3.533)",="",="",="(3.513)",=""
="post_5",="",="31.314***",="",="",="22.340***",="",="",="22.506***",="",="",="31.314***",=""
="",="",="(2.236)",="",="",="(2.196)",="",="",="(4.183)",="",="",="(3.924)",=""
="post_0 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # INCa/INSERM/DGOS",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Cancer Institute",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Health and Medical Rese",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # Wellcome Trust",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # INCa/INSERM/DGOS",="",="3.957",="",="",="4.030",="",="",="4.015***",="",="",="3.957***",=""
="",="",="(3.114)",="",="",="(3.053)",="",="",="(1.431)",="",="",="(1.284)",=""
="post_1 # National Cancer Institute",="",="2.193",="",="",="2.181",="",="",="2.183**",="",="",="2.193**",=""
="",="",="(2.346)",="",="",="(2.300)",="",="",="(1.034)",="",="",="(0.960)",=""
="post_1 # National Health and Medical Rese",="",="3.229",="",="",="3.134",="",="",="3.154**",="",="",="3.229**",=""
="",="",="(2.790)",="",="",="(2.735)",="",="",="(1.401)",="",="",="(1.445)",=""
="post_1 # Wellcome Trust",="",="4.515",="",="",="3.621",="",="",="3.810",="",="",="4.515",=""
="",="",="(4.739)",="",="",="(4.646)",="",="",="(3.120)",="",="",="(3.170)",=""
="post_2 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_2 # INCa/INSERM/DGOS",="",="4.135",="",="",="4.229",="",="",="4.209**",="",="",="4.135**",=""
="",="",="(3.114)",="",="",="(3.053)",="",="",="(2.077)",="",="",="(2.019)",=""
="post_2 # National Cancer Institute",="",="0.158",="",="",="0.143",="",="",="0.146",="",="",="0.158",=""
="",="",="(2.346)",="",="",="(2.300)",="",="",="(1.695)",="",="",="(1.597)",=""
="post_2 # National Health and Medical Rese",="",="1.952",="",="",="1.829",="",="",="1.855",="",="",="1.952",=""
="",="",="(2.790)",="",="",="(2.735)",="",="",="(2.172)",="",="",="(2.036)",=""
="post_2 # Wellcome Trust",="",="6.344",="",="",="5.194",="",="",="5.437",="",="",="6.344",=""
="",="",="(4.739)",="",="",="(4.646)",="",="",="(5.566)",="",="",="(5.438)",=""
="post_3 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_3 # INCa/INSERM/DGOS",="",="5.646*",="",="",="5.761*",="",="",="5.737**",="",="",="5.646**",=""
="",="",="(3.114)",="",="",="(3.053)",="",="",="(2.456)",="",="",="(2.235)",=""
="post_3 # National Cancer Institute",="",="1.974",="",="",="1.956",="",="",="1.959",="",="",="1.974",=""
="",="",="(2.346)",="",="",="(2.300)",="",="",="(2.056)",="",="",="(1.862)",=""
="post_3 # National Health and Medical Rese",="",="3.225",="",="",="3.076",="",="",="3.108",="",="",="3.225",=""
="",="",="(2.790)",="",="",="(2.735)",="",="",="(2.646)",="",="",="(2.442)",=""
="post_3 # Wellcome Trust",="",="9.512**",="",="",="8.106*",="",="",="8.404",="",="",="9.512",=""
="",="",="(4.739)",="",="",="(4.646)",="",="",="(5.821)",="",="",="(5.818)",=""
="post_4 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_4 # INCa/INSERM/DGOS",="",="3.849",="",="",="3.985",="",="",="3.956",="",="",="3.849",=""
="",="",="(3.114)",="",="",="(3.053)",="",="",="(4.418)",="",="",="(4.568)",=""
="post_4 # National Cancer Institute",="",="-0.814",="",="",="-0.836",="",="",="-0.832",="",="",="-0.814",=""
="",="",="(2.346)",="",="",="(2.300)",="",="",="(3.711)",="",="",="(3.655)",=""
