="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs"
="post_flag=0",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1",="1.853***",="",="",="0.491***",="",="",="0.494***",="",="",="1.853***",="",=""
="",="(0.180)",="",="",="(0.174)",="",="",="(0.170)",="",="",="(0.145)",="",=""
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="1.515***",="1.515***",="0.991**",="1.518***",="1.518***",="0.982**",="0.110",="0.111",="-0.423",="0.000",="0.000",="0.000"
="",="(0.174)",="(0.174)",="(0.416)",="(0.168)",="(0.168)",="(0.401)",="(0.789)",="(0.789)",="(0.804)",="(.)",="(.)",="(.)"
="National Cancer Institute",="0.694***",="0.694***",="0.507",="0.842***",="0.842***",="0.655**",="0.964***",="0.966***",="0.784**",="0.000",="0.000",="0.000"
="",="(0.128)",="(0.128)",="(0.312)",="(0.123)",="(0.123)",="(0.301)",="(0.369)",="(0.369)",="(0.370)",="(.)",="(.)",="(.)"
="National Health and Medical Rese",="0.208",="0.208",="-0.145",="0.357**",="0.357**",="0.017",="1.172**",="1.174**",="0.837",="0.000",="0.000",="0.000"
="",="(0.152)",="(0.152)",="(0.371)",="(0.146)",="(0.146)",="(0.358)",="(0.563)",="(0.563)",="(0.554)",="(.)",="(.)",="(.)"
="Wellcome Trust",="-0.596**",="-0.596**",="-0.712",="0.944***",="0.942***",="0.955",="0.896**",="0.893**",="0.884**",="0.000",="0.000",="0.000"
="",="(0.258)",="(0.258)",="(0.630)",="(0.249)",="(0.249)",="(0.608)",="(0.396)",="(0.396)",="(0.429)",="(.)",="(.)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Cancer Institute",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Health and Medical Rese",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # Wellcome Trust",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # INCa/INSERM/DGOS",="0.836***",="",="",="0.862***",="",="",="0.859***",="",="",="0.836***",="",=""
="",="(0.251)",="",="",="(0.242)",="",="",="(0.283)",="",="",="(0.244)",="",=""
="post_flag=1 # National Cancer Institute",="0.308",="",="",="0.303*",="",="",="0.304*",="",="",="0.308**",="",=""
="",="(0.189)",="",="",="(0.182)",="",="",="(0.178)",="",="",="(0.156)",="",=""
="post_flag=1 # National Health and Medical Rese",="0.665***",="",="",="0.631***",="",="",="0.635***",="",="",="0.665***",="",=""
="",="(0.225)",="",="",="(0.217)",="",="",="(0.214)",="",="",="(0.187)",="",=""
="post_flag=1 # Wellcome Trust",="-0.154",="",="",="-0.476",="",="",="-0.442",="",="",="-0.154",="",=""
="",="(0.382)",="",="",="(0.368)",="",="",="(0.314)",="",="",="(0.309)",="",=""
="False",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="True",="-0.744***",="-0.744***",="-0.744***",="-0.983***",="-0.983***",="-0.980***",="-0.784",="-0.783",="-0.776",="",="",=""
="",="(0.226)",="(0.226)",="(0.226)",="(0.218)",="(0.218)",="(0.218)",="(0.731)",="(0.732)",="(0.733)",="",="",=""
="start_year=2007",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="start_year=2008",="-0.235***",="-0.235***",="-0.235***",="-0.078",="-0.078",="-0.080",="-0.116",="-0.117",="-0.119",="",="",=""
="",="(0.078)",="(0.078)",="(0.078)",="(0.075)",="(0.075)",="(0.075)",="(0.237)",="(0.237)",="(0.237)",="",="",=""
="start_year=2009",="0.336***",="0.336***",="0.336***",="0.187***",="0.188***",="0.189***",="0.154",="0.155",="0.157",="",="",=""
="",="(0.075)",="(0.075)",="(0.075)",="(0.072)",="(0.072)",="(0.072)",="(0.210)",="(0.210)",="(0.210)",="",="",=""
="start_year=2010",="0.266***",="0.266***",="0.266***",="0.340***",="0.340***",="0.340***",="0.146",="0.145",="0.144",="",="",=""
="",="(0.082)",="(0.082)",="(0.082)",="(0.079)",="(0.079)",="(0.079)",="(0.232)",="(0.232)",="(0.232)",="",="",=""
="start_year=2011",="-0.103",="-0.103",="-0.103",="0.009",="0.009",="0.008",="0.058",="0.058",="0.057",="",="",=""
="",="(0.083)",="(0.083)",="(0.083)",="(0.080)",="(0.080)",="(0.080)",="(0.245)",="(0.245)",="(0.245)",="",="",=""
="start_year=2012",="-0.490***",="-0.490***",="-0.490***",="-0.190**",="-0.191**",="-0.194**",="-0.184",="-0.184",="-0.189",="",="",=""
="",="(0.085)",="(0.085)",="(0.085)",="(0.082)",="(0.082)",="(0.082)",="(0.206)",="(0.206)",="(0.206)",="",="",=""
="post_0",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1",="",="1.089***",="",="",="0.158",="",="",="0.168",="",="",="1.089***",=""
="",="",="(0.322)",="",="",="(0.310)",="",="",="(0.135)",="",="",="(0.126)",=""
="post_2",="",="1.459***",="",="",="0.301",="",="",="0.310*",="",="",="1.459***",=""
="",="",="(0.322)",="",="",="(0.310)",="",="",="(0.178)",="",="",="(0.159)",=""
="post_3",="",="1.999***",="",="",="0.627**",="",="",="0.633***",="",="",="1.999***",=""
="",="",="(0.322)",="",="",="(0.310)",="",="",="(0.200)",="",="",="(0.176)",=""
="post_4",="",="2.464***",="",="",="0.892***",="",="",="0.894***",="",="",="2.464***",=""
="",="",="(0.322)",="",="",="(0.310)",="",="",="(0.260)",="",="",="(0.220)",=""
="post_5",="",="2.255***",="",="",="0.498",="",="",="0.495**",="",="",="2.255***",=""
="",="",="(0.322)",="",="",="(0.310)",="",="",="(0.246)",="",="",="(0.209)",=""
="post_0 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
