="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries"
="post_flag=0",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1",="1.414***",="",="",="1.005***",="",="",="1.005***",="",="",="1.026***",="",="",="1.414***",="",=""
="",="(0.065)",="",="",="(0.063)",="",="",="(0.063)",="",="",="(0.092)",="",="",="(0.086)",="",=""
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="0.081",="0.081",="0.007",="0.065",="0.066",="-0.013",="0.065",="0.066",="-0.013",="0.057",="0.060",="-0.016",="0.000",="0.000",="0.000"
="",="(0.062)",="(0.062)",="(0.148)",="(0.061)",="(0.061)",="(0.145)",="(0.061)",="(0.061)",="(0.145)",="(0.524)",="(0.524)",="(0.519)",="(.)",="(.)",="(.)"
="National Cancer Institute",="-0.514***",="-0.514***",="-0.388***",="-0.480***",="-0.480***",="-0.354***",="-0.480***",="-0.480***",="-0.354***",="-0.248*",="-0.243*",="-0.114",="0.000",="0.000",="0.000"
="",="(0.046)",="(0.046)",="(0.111)",="(0.045)",="(0.044)",="(0.109)",="(0.045)",="(0.044)",="(0.109)",="(0.136)",="(0.136)",="(0.146)",="(.)",="(.)",="(.)"
="National Health and Medical Rese",="-0.009",="-0.009",="-0.021",="0.033",="0.032",="0.024",="0.033",="0.032",="0.024",="0.329*",="0.334*",="0.327*",="0.000",="0.000",="0.000"
