="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs"
="post_flag=0",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1",="20.186***",="",="",="13.288***",="",="",="13.288***",="",="",="13.362***",="",="",="20.186***",="",=""
="",="(1.259)",="",="",="(1.236)",="",="",="(1.236)",="",="",="(1.891)",="",="",="(1.783)",="",=""
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="10.743***",="10.743***",="7.130**",="10.489***",="10.515***",="6.829**",="10.489***",="10.515***",="6.829**",="11.284",="11.349",="7.719",="0.000",="0.000",="0.000"
="",="(1.217)",="(1.213)",="(2.897)",="(1.192)",="(1.189)",="(2.842)",="(1.192)",="(1.189)",="(2.842)",="(7.435)",="(7.426)",="(7.416)",="(.)",="(.)",="(.)"
="National Cancer Institute",="1.512*",="1.512*",="0.516",="2.170**",="2.182**",="1.179",="2.170**",="2.182**",="1.179",="5.151**",="5.258**",="4.309*",="0.000",="0.000",="0.000"
="",="(0.893)",="(0.890)",="(2.172)",="(0.875)",="(0.874)",="(2.131)",="(0.875)",="(0.874)",="(2.131)",="(2.411)",="(2.404)",="(2.511)",="(.)",="(.)",="(.)"
="National Health and Medical Rese",="0.972",="0.972",="0.583",="1.723*",="1.717*",="1.377",="1.723*",="1.717*",="1.377",="7.792**",="7.897**",="7.601**",="0.000",="0.000",="0.000"
="",="(1.061)",="(1.058)",="(2.583)",="(1.038)",="(1.036)",="(2.533)",="(1.038)",="(1.036)",="(2.533)",="(3.141)",="(3.143)",="(3.540)",="(.)",="(.)",="(.)"
="Wellcome Trust",="-4.414**",="-4.414**",="-5.123",="2.838",="2.709",="2.447",="2.838",="2.709",="2.447",="4.642",="4.461",="3.977",="0.000",="0.000",="0.000"
="",="(1.805)",="(1.800)",="(4.395)",="(1.771)",="(1.768)",="(4.314)",="(1.771)",="(1.768)",="(4.314)",="(2.947)",="(2.939)",="(2.965)",="(.)",="(.)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Cancer Institute",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Health and Medical Rese",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # Wellcome Trust",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # INCa/INSERM/DGOS",="4.765***",="",="",="4.934***",="",="",="4.934***",="",="",="4.897**",="",="",="4.765**",="",=""
="",="(1.754)",="",="",="(1.716)",="",="",="(1.716)",="",="",="(2.394)",="",="",="(2.254)",="",=""
="post_flag=1 # National Cancer Institute",="-0.081",="",="",="-0.093",="",="",="-0.093",="",="",="-0.090",="",="",="-0.081",="",=""
="",="(1.321)",="",="",="(1.293)",="",="",="(1.293)",="",="",="(1.973)",="",="",="(1.857)",="",=""
="post_flag=1 # National Health and Medical Rese",="2.145",="",="",="2.002",="",="",="2.002",="",="",="2.034",="",="",="2.145",="",=""
="",="(1.571)",="",="",="(1.537)",="",="",="(1.537)",="",="",="(2.425)",="",="",="(2.298)",="",=""
="post_flag=1 # Wellcome Trust",="5.692**",="",="",="4.313*",="",="",="4.313*",="",="",="4.614",="",="",="5.692",="",=""
="",="(2.673)",="",="",="(2.617)",="",="",="(2.617)",="",="",="(4.886)",="",="",="(4.907)",="",=""
="False",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="True",="-2.384",="-2.384",="-2.384",="-3.655**",="-3.663**",="-3.640**",="-3.655**",="-3.663**",="-3.640**",="-3.678",="-3.627",="-3.556",="",="",=""
="",="(1.581)",="(1.576)",="(1.573)",="(1.548)",="(1.544)",="(1.544)",="(1.548)",="(1.544)",="(1.544)",="(4.495)",="(4.514)",="(4.532)",="",="",=""
="start_year=2007",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="start_year=2008",="-0.123",="-0.123",="-0.123",="0.826",="0.813",="0.800",="0.826",="0.813",="0.800",="1.581",="1.569",="1.552",="",="",=""
="",="(0.543)",="(0.541)",="(0.540)",="(0.531)",="(0.530)",="(0.530)",="(0.531)",="(0.530)",="(0.530)",="(1.296)",="(1.297)",="(1.297)",="",="",=""
="start_year=2009",="5.028***",="5.028***",="5.028***",="4.250***",="4.293***",="4.306***",="4.250***",="4.293***",="4.306***",="5.150***",="5.223***",="5.249***",="",="",=""
="",="(0.525)",="(0.524)",="(0.523)",="(0.515)",="(0.514)",="(0.514)",="(0.515)",="(0.514)",="(0.514)",="(1.402)",="(1.405)",="(1.405)",="",="",=""
="start_year=2010",="4.791***",="4.791***",="4.791***",="5.354***",="5.350***",="5.346***",="5.354***",="5.350***",="5.346***",="5.186***",="5.169***",="5.160***",="",="",=""
="",="(0.572)",="(0.570)",="(0.569)",="(0.560)",="(0.559)",="(0.559)",="(0.560)",="(0.559)",="(0.559)",="(1.389)",="(1.390)",="(1.390)",="",="",=""
="start_year=2011",="6.389***",="6.389***",="6.389***",="7.239***",="7.236***",="7.228***",="7.239***",="7.236***",="7.228***",="8.089***",="8.103***",="8.096***",="",="",=""
="",="(0.579)",="(0.577)",="(0.577)",="(0.567)",="(0.566)",="(0.566)",="(0.567)",="(0.566)",="(0.566)",="(1.670)",="(1.669)",="(1.669)",="",="",=""
="start_year=2012",="5.046***",="5.046***",="5.046***",="6.679***",="6.658***",="6.629***",="6.679***",="6.658***",="6.629***",="7.930***",="7.902***",="7.850***",="",="",=""
="",="(0.595)",="(0.593)",="(0.592)",="(0.583)",="(0.581)",="(0.581)",="(0.583)",="(0.581)",="(0.581)",="(1.367)",="(1.367)",="(1.369)",="",="",=""
="post_0",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1",="",="8.695***",="",="",="4.148*",="",="",="4.148*",="",="",="4.340***",="",="",="8.695***",=""
="",="",="(2.238)",="",="",="(2.194)",="",="",="(2.194)",="",="",="(0.962)",="",="",="(0.880)",=""
="post_2",="",="14.619***",="",="",="8.937***",="",="",="8.937***",="",="",="9.149***",="",="",="14.619***",=""
="",="",="(2.238)",="",="",="(2.194)",="",="",="(2.194)",="",="",="(1.637)",="",="",="(1.533)",=""
="post_3",="",="17.731***",="",="",="10.979***",="",="",="10.979***",="",="",="11.196***",="",="",="17.731***",=""
="",="",="(2.238)",="",="",="(2.195)",="",="",="(2.195)",="",="",="(1.900)",="",="",="(1.759)",=""
="post_4",="",="28.466***",="",="",="20.705***",="",="",="20.705***",="",="",="20.914***",="",="",="28.466***",=""
="",="",="(2.238)",="",="",="(2.196)",="",="",="(2.196)",="",="",="(3.529)",="",="",="(3.508)",=""
="post_5",="",="31.420***",="",="",="22.712***",="",="",="22.712***",="",="",="22.900***",="",="",="31.420***",=""
="",="",="(2.238)",="",="",="(2.196)",="",="",="(2.196)",="",="",="(4.178)",="",="",="(3.921)",=""
="post_0 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # INCa/INSERM/DGOS",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Cancer Institute",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Health and Medical Rese",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # Wellcome Trust",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # INCa/INSERM/DGOS",="",="3.853",="",="",="3.961",="",="",="3.961",="",="",="3.938***",="",="",="3.853***",=""
="",="",="(3.118)",="",="",="(3.055)",="",="",="(3.055)",="",="",="(1.463)",="",="",="(1.321)",=""
="post_1 # National Cancer Institute",="",="2.182",="",="",="2.174",="",="",="2.174",="",="",="2.175**",="",="",="2.182**",=""
="",="",="(2.348)",="",="",="(2.301)",="",="",="(2.301)",="",="",="(1.033)",="",="",="(0.959)",=""
="post_1 # National Health and Medical Rese",="",="3.471",="",="",="3.380",="",="",="3.380",="",="",="3.400**",="",="",="3.471**",=""
="",="",="(2.793)",="",="",="(2.736)",="",="",="(2.736)",="",="",="(1.392)",="",="",="(1.448)",=""
="post_1 # Wellcome Trust",="",="4.321",="",="",="3.437",="",="",="3.437",="",="",="3.629",="",="",="4.321",=""
="",="",="(4.753)",="",="",="(4.657)",="",="",="(4.657)",="",="",="(3.130)",="",="",="(3.173)",=""
="post_2 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_2 # INCa/INSERM/DGOS",="",="3.750",="",="",="3.890",="",="",="3.890",="",="",="3.859*",="",="",="3.750*",=""
="",="",="(3.118)",="",="",="(3.055)",="",="",="(3.055)",="",="",="(2.075)",="",="",="(2.039)",=""
="post_2 # National Cancer Institute",="",="0.094",="",="",="0.084",="",="",="0.084",="",="",="0.086",="",="",="0.094",=""
="",="",="(2.348)",="",="",="(2.301)",="",="",="(2.301)",="",="",="(1.695)",="",="",="(1.599)",=""
="post_2 # National Health and Medical Rese",="",="2.207",="",="",="2.089",="",="",="2.089",="",="",="2.115",="",="",="2.207",=""
="",="",="(2.793)",="",="",="(2.736)",="",="",="(2.736)",="",="",="(2.177)",="",="",="(2.039)",=""
="post_2 # Wellcome Trust",="",="6.492",="",="",="5.355",="",="",="5.355",="",="",="5.602",="",="",="6.492",=""
="",="",="(4.753)",="",="",="(4.657)",="",="",="(4.657)",="",="",="(5.593)",="",="",="(5.455)",=""
="post_3 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_3 # INCa/INSERM/DGOS",="",="5.301*",="",="",="5.472*",="",="",="5.472*",="",="",="5.435**",="",="",="5.301**",=""
="",="",="(3.118)",="",="",="(3.055)",="",="",="(3.055)",="",="",="(2.490)",="",="",="(2.250)",=""
="post_3 # National Cancer Institute",="",="1.557",="",="",="1.544",="",="",="1.544",="",="",="1.547",="",="",="1.557",=""
="",="",="(2.348)",="",="",="(2.301)",="",="",="(2.301)",="",="",="(2.041)",="",="",="(1.859)",=""
="post_3 # National Health and Medical Rese",="",="3.440",="",="",="3.296",="",="",="3.296",="",="",="3.328",="",="",="3.440",=""
="",="",="(2.793)",="",="",="(2.736)",="",="",="(2.736)",="",="",="(2.628)",="",="",="(2.441)",=""
="post_3 # Wellcome Trust",="",="9.567**",="",="",="8.178*",="",="",="8.178*",="",="",="8.479",="",="",="9.567",=""
="",="",="(4.753)",="",="",="(4.657)",="",="",="(4.657)",="",="",="(5.838)",="",="",="(5.837)",=""
