="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs"
="post_flag=0",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1",="1.918***",="",="",="0.600***",="",="",="0.600***",="",="",="0.605***",="",="",="1.918***",="",=""
="",="(0.181)",="",="",="(0.174)",="",="",="(0.174)",="",="",="(0.173)",="",="",="(0.146)",="",=""
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="1.705***",="1.705***",="1.108***",="1.666***",="1.667***",="1.053***",="1.666***",="1.667***",="1.053***",="0.940",="0.941",="0.334",="0.000",="0.000",="0.000"
="",="(0.175)",="(0.175)",="(0.417)",="(0.168)",="(0.168)",="(0.401)",="(0.168)",="(0.168)",="(0.401)",="(0.907)",="(0.907)",="(0.916)",="(.)",="(.)",="(.)"
="National Cancer Institute",="0.725***",="0.725***",="0.514*",="0.839***",="0.839***",="0.628**",="0.839***",="0.839***",="0.628**",="0.932**",="0.934**",="0.729**",="0.000",="0.000",="0.000"
="",="(0.128)",="(0.128)",="(0.312)",="(0.123)",="(0.123)",="(0.301)",="(0.123)",="(0.123)",="(0.301)",="(0.367)",="(0.367)",="(0.369)",="(.)",="(.)",="(.)"
="National Health and Medical Rese",="0.222",="0.222",="-0.138",="0.373**",="0.373**",="0.026",="0.373**",="0.373**",="0.026",="1.174**",="1.176**",="0.833",="0.000",="0.000",="0.000"
="",="(0.152)",="(0.152)",="(0.371)",="(0.146)",="(0.146)",="(0.357)",="(0.146)",="(0.146)",="(0.357)",="(0.545)",="(0.545)",="(0.541)",="(.)",="(.)",="(.)"
="Wellcome Trust",="-0.558**",="-0.558**",="-0.692",="0.912***",="0.909***",="0.902",="0.912***",="0.909***",="0.902",="0.837**",="0.834**",="0.802*",="0.000",="0.000",="0.000"
="",="(0.259)",="(0.259)",="(0.632)",="(0.249)",="(0.249)",="(0.608)",="(0.249)",="(0.249)",="(0.608)",="(0.398)",="(0.397)",="(0.435)",="(.)",="(.)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Cancer Institute",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Health and Medical Rese",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # Wellcome Trust",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # INCa/INSERM/DGOS",="0.745***",="",="",="0.784***",="",="",="0.784***",="",="",="0.780***",="",="",="0.745***",="",=""
="",="(0.252)",="",="",="(0.242)",="",="",="(0.242)",="",="",="(0.294)",="",="",="(0.246)",="",=""
="post_flag=1 # National Cancer Institute",="0.249",="",="",="0.246",="",="",="0.246",="",="",="0.246",="",="",="0.249",="",=""
="",="(0.189)",="",="",="(0.182)",="",="",="(0.182)",="",="",="(0.180)",="",="",="(0.157)",="",=""
="post_flag=1 # National Health and Medical Rese",="0.689***",="",="",="0.656***",="",="",="0.656***",="",="",="0.659***",="",="",="0.689***",="",=""
="",="(0.225)",="",="",="(0.216)",="",="",="(0.216)",="",="",="(0.219)",="",="",="(0.188)",="",=""
="post_flag=1 # Wellcome Trust",="-0.168",="",="",="-0.486",="",="",="-0.486",="",="",="-0.450",="",="",="-0.168",="",=""
="",="(0.383)",="",="",="(0.368)",="",="",="(0.368)",="",="",="(0.313)",="",="",="(0.309)",="",=""
="False",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="True",="-0.845***",="-0.845***",="-0.845***",="-1.112***",="-1.112***",="-1.110***",="-1.112***",="-1.112***",="-1.110***",="-0.899",="-0.898",="-0.891",="",="",=""
="",="(0.227)",="(0.227)",="(0.226)",="(0.218)",="(0.218)",="(0.218)",="(0.218)",="(0.218)",="(0.218)",="(0.703)",="(0.703)",="(0.705)",="",="",=""
="start_year=2007",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="start_year=2008",="-0.267***",="-0.267***",="-0.267***",="-0.077",="-0.077",="-0.079",="-0.077",="-0.077",="-0.079",="-0.139",="-0.140",="-0.141",="",="",=""
="",="(0.078)",="(0.078)",="(0.078)",="(0.075)",="(0.075)",="(0.075)",="(0.075)",="(0.075)",="(0.075)",="(0.235)",="(0.235)",="(0.235)",="",="",=""
="start_year=2009",="0.323***",="0.323***",="0.323***",="0.195***",="0.196***",="0.197***",="0.195***",="0.196***",="0.197***",="0.167",="0.168",="0.171",="",="",=""
="",="(0.075)",="(0.075)",="(0.075)",="(0.072)",="(0.072)",="(0.072)",="(0.072)",="(0.072)",="(0.072)",="(0.209)",="(0.209)",="(0.210)",="",="",=""
="start_year=2010",="0.245***",="0.245***",="0.245***",="0.358***",="0.357***",="0.357***",="0.358***",="0.357***",="0.357***",="0.179",="0.179",="0.178",="",="",=""
="",="(0.082)",="(0.082)",="(0.082)",="(0.079)",="(0.079)",="(0.079)",="(0.079)",="(0.079)",="(0.079)",="(0.231)",="(0.231)",="(0.231)",="",="",=""
="start_year=2011",="-0.124",="-0.124",="-0.124",="0.059",="0.059",="0.058",="0.059",="0.059",="0.058",="0.016",="0.016",="0.015",="",="",=""
="",="(0.083)",="(0.083)",="(0.083)",="(0.080)",="(0.080)",="(0.080)",="(0.080)",="(0.080)",="(0.080)",="(0.242)",="(0.242)",="(0.242)",="",="",=""
="start_year=2012",="-0.515***",="-0.515***",="-0.515***",="-0.178**",="-0.178**",="-0.181**",="-0.178**",="-0.178**",="-0.181**",="-0.168",="-0.169",="-0.174",="",="",=""
="",="(0.085)",="(0.085)",="(0.085)",="(0.082)",="(0.082)",="(0.082)",="(0.082)",="(0.082)",="(0.082)",="(0.202)",="(0.202)",="(0.202)",="",="",=""
="post_0",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1",="",="1.087***",="",="",="0.184",="",="",="0.184",="",="",="0.197",="",="",="1.087***",=""
="",="",="(0.322)",="",="",="(0.309)",="",="",="(0.309)",="",="",="(0.135)",="",="",="(0.126)",=""
="post_2",="",="1.515***",="",="",="0.392",="",="",="0.392",="",="",="0.404**",="",="",="1.515***",=""
="",="",="(0.322)",="",="",="(0.309)",="",="",="(0.309)",="",="",="(0.182)",="",="",="(0.162)",=""
="post_3",="",="2.099***",="",="",="0.770**",="",="",="0.770**",="",="",="0.780***",="",="",="2.099***",=""
="",="",="(0.322)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.199)",="",="",="(0.176)",=""
="post_4",="",="2.605***",="",="",="1.085***",="",="",="1.085***",="",="",="1.091***",="",="",="2.605***",=""
="",="",="(0.322)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.259)",="",="",="(0.220)",=""
="post_5",="",="2.286***",="",="",="0.589*",="",="",="0.589*",="",="",="0.589**",="",="",="2.286***",=""
="",="",="(0.322)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.250)",="",="",="(0.211)",=""
="post_0 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # INCa/INSERM/DGOS",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Cancer Institute",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Health and Medical Rese",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # Wellcome Trust",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # INCa/INSERM/DGOS",="",="0.691",="",="",="0.716*",="",="",="0.716*",="",="",="0.713***",="",="",="0.691***",=""
="",="",="(0.449)",="",="",="(0.431)",="",="",="(0.431)",="",="",="(0.247)",="",="",="(0.225)",=""
="post_1 # National Cancer Institute",="",="0.574*",="",="",="0.573*",="",="",="0.573*",="",="",="0.573***",="",="",="0.574***",=""
="",="",="(0.338)",="",="",="(0.324)",="",="",="(0.324)",="",="",="(0.186)",="",="",="(0.185)",=""
="post_1 # National Health and Medical Rese",="",="0.689*",="",="",="0.668*",="",="",="0.668*",="",="",="0.671***",="",="",="0.689***",=""
="",="",="(0.402)",="",="",="(0.386)",="",="",="(0.386)",="",="",="(0.252)",="",="",="(0.247)",=""
="post_1 # Wellcome Trust",="",="0.058",="",="",="-0.144",="",="",="-0.144",="",="",="-0.121",="",="",="0.058",=""
="",="",="(0.684)",="",="",="(0.657)",="",="",="(0.657)",="",="",="(0.286)",="",="",="(0.267)",=""
="post_2 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_2 # INCa/INSERM/DGOS",="",="0.905**",="",="",="0.937**",="",="",="0.937**",="",="",="0.934***",="",="",="0.905***",=""
="",="",="(0.449)",="",="",="(0.431)",="",="",="(0.431)",="",="",="(0.304)",="",="",="(0.275)",=""
="post_2 # National Cancer Institute",="",="0.354",="",="",="0.352",="",="",="0.352",="",="",="0.352*",="",="",="0.354**",=""
="",="",="(0.338)",="",="",="(0.324)",="",="",="(0.324)",="",="",="(0.195)",="",="",="(0.175)",=""
="post_2 # National Health and Medical Rese",="",="0.554",="",="",="0.527",="",="",="0.527",="",="",="0.530**",="",="",="0.554***",=""
="",="",="(0.402)",="",="",="(0.386)",="",="",="(0.386)",="",="",="(0.225)",="",="",="(0.202)",=""
="post_2 # Wellcome Trust",="",="-0.288",="",="",="-0.548",="",="",="-0.548",="",="",="-0.519",="",="",="-0.288",=""
="",="",="(0.684)",="",="",="(0.657)",="",="",="(0.657)",="",="",="(0.340)",="",="",="(0.304)",=""
="post_3 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_3 # INCa/INSERM/DGOS",="",="0.594",="",="",="0.633",="",="",="0.633",="",="",="0.629*",="",="",="0.594**",=""
="",="",="(0.449)",="",="",="(0.431)",="",="",="(0.431)",="",="",="(0.354)",="",="",="(0.297)",=""
="post_3 # National Cancer Institute",="",="0.137",="",="",="0.134",="",="",="0.134",="",="",="0.135",="",="",="0.137",=""
="",="",="(0.338)",="",="",="(0.324)",="",="",="(0.324)",="",="",="(0.215)",="",="",="(0.199)",=""
="post_3 # National Health and Medical Rese",="",="0.444",="",="",="0.411",="",="",="0.411",="",="",="0.415*",="",="",="0.444**",=""
="",="",="(0.402)",="",="",="(0.386)",="",="",="(0.386)",="",="",="(0.250)",="",="",="(0.220)",=""
