="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="1.414***",="1.414***",="1.005***",="1.414***",="1.725*",="1.725*",="1.488",="1.725***"
="",="(0.072)",="(0.072)",="(0.070)",="(0.086)",="(0.945)",="(0.938)",="(0.922)",="(0.219)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="0.081",="0.084",="0.065",="0.000",="-0.518",="-0.478",="-0.599",="0.000"
="",="(0.052)",="(0.052)",="(0.049)",="(.)",="(0.582)",="(0.573)",="(0.571)",="(.)"
="National Cancer Institute",="-0.514***",="-0.500***",="-0.480***",="0.000",="-0.807",="-0.794",="-0.903",="0.000"
="",="(0.033)",="(0.033)",="(0.031)",="(.)",="(0.570)",="(0.559)",="(0.556)",="(.)"
="National Health and Medical Rese",="-0.009",="-0.000",="0.033",="0.000",="-0.949*",="-0.980*",="-1.247**",="0.000"
="",="(0.043)",="(0.043)",="(0.040)",="(.)",="(0.565)",="(0.563)",="(0.627)",="(.)"
="Wellcome Trust",="-0.406***",="-0.406***",="0.019",="0.000",="-0.816",="-0.650",="-0.814",="0.000"
="",="(0.071)",="(0.070)",="(0.063)",="(.)",="(0.567)",="(0.546)",="(0.556)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="0.046",="0.046",="0.056",="0.046",="-0.265",="-0.265",="-0.214",="-0.265"
="",="(0.107)",="(0.106)",="(0.103)",="(0.122)",="(0.948)",="(0.942)",="(0.920)",="(0.235)"
="post_flag=1 # National Cancer Institute",="-0.469***",="-0.469***",="-0.470***",="-0.469***",="-0.575",="-0.575",="-0.528",="-0.575**"
="",="(0.075)",="(0.075)",="(0.072)",="(0.089)",="(0.952)",="(0.946)",="(0.924)",="(0.259)"
="post_flag=1 # National Health and Medical Rese",="0.055",="0.055",="0.047",="0.055",="-1.124",="-1.124",="-0.550",="-1.124***"
="",="(0.094)",="(0.093)",="(0.091)",="(0.112)",="(0.970)",="(0.963)",="(0.939)",="(0.219)"
="post_flag=1 # Wellcome Trust",="0.327*",="0.327*",="0.248",="0.327",="-1.450",="-1.450",="-1.583*",="-1.450***"
="",="(0.179)",="(0.178)",="(0.169)",="(0.224)",="(0.975)",="(0.967)",="(0.958)",="(0.368)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="-0.079",="-0.105",="-0.147",="",="-0.145",="-0.153",="-0.078",=""
="",="(0.095)",="(0.094)",="(0.092)",="",="(0.097)",="(0.097)",="(0.099)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.041*",="-0.023",="0.011",="",="-0.582**",="-0.530**",="-0.465*",=""
="",="(0.023)",="(0.023)",="(0.023)",="",="(0.268)",="(0.254)",="(0.251)",=""
="start_year=2009",="0.275***",="0.279***",="0.227***",="",="-1.897***",="-1.986***",="-1.947***",=""
="",="(0.024)",="(0.024)",="(0.024)",="",="(0.259)",="(0.286)",="(0.411)",=""
="start_year=2010",="0.273***",="0.293***",="0.302***",="",="-0.515**",="-0.293",="-0.376",=""
="",="(0.028)",="(0.028)",="(0.027)",="",="(0.258)",="(0.224)",="(0.231)",=""
="start_year=2011",="0.411***",="0.438***",="0.456***",="",="0.835**",="0.882**",="0.846**",=""
="",="(0.031)",="(0.031)",="(0.031)",="",="(0.393)",="(0.386)",="(0.376)",=""
="start_year=2012",="0.393***",="0.411***",="0.485***",="",="-0.101",="-0.105",="-0.000",=""
="",="(0.033)",="(0.033)",="(0.032)",="",="(0.247)",="(0.233)",="(0.240)",=""
="F",="",="-0.129***",="-0.128***",="",="",="-0.629***",="-0.715***",=""
="",="",="(0.025)",="(0.024)",="",="",="(0.131)",="(0.133)",=""
="M",="",="0.328***",="0.065***",="",="",="-0.021",="-0.187",=""
="",="",="(0.023)",="(0.022)",="",="",="(0.181)",="(0.174)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="0.127***",="",="",="",="-0.062",=""
