="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="20.186***",="20.186***",="13.288***",="20.186***",="26.721***",="26.721***",="23.332***",="26.721***"
="",="(1.384)",="(1.379)",="(1.354)",="(1.783)",="(8.146)",="(7.788)",="(7.571)",="(3.552)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="10.743***",="10.793***",="10.489***",="0.000",="-5.548",="-4.681",="-5.137",="0.000"
="",="(0.715)",="(0.710)",="(0.665)",="(.)",="(4.042)",="(3.772)",="(3.808)",="(.)"
="National Cancer Institute",="1.512***",="1.813***",="2.170***",="0.000",="-10.415***",="-9.795***",="-10.531***",="0.000"
="",="(0.433)",="(0.433)",="(0.409)",="(.)",="(3.969)",="(3.698)",="(3.633)",="(.)"
="National Health and Medical Rese",="0.972",="1.158*",="1.723***",="0.000",="-18.672***",="-19.166***",="-18.211***",="0.000"
="",="(0.682)",="(0.679)",="(0.659)",="(.)",="(4.037)",="(3.825)",="(6.417)",="(.)"
="Wellcome Trust",="-4.414***",="-4.414***",="2.838***",="0.000",="-22.908***",="-19.451***",="-21.514***",="0.000"
="",="(0.870)",="(0.863)",="(0.800)",="(.)",="(4.109)",="(3.851)",="(3.842)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="4.765**",="4.765**",="4.934***",="4.765**",="-1.770",="-1.770",="-1.433",="-1.770"
="",="(1.886)",="(1.879)",="(1.841)",="(2.254)",="(8.249)",="(7.895)",="(7.566)",="(3.810)"
="post_flag=1 # National Cancer Institute",="-0.081",="-0.081",="-0.093",="-0.081",="-3.081",="-3.081",="-2.767",="-3.081"
