="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="0.643**",="0.651**",="0.692**",="0.784***",="0.680",="0.684",="0.712",="0.748*"
="",="(0.279)",="(0.279)",="(0.279)",="(0.293)",="(0.428)",="(0.427)",="(0.437)",="(0.434)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-1.974***",="-1.977***",="-1.976***",="0.000",="-1.560***",="-1.562***",="-1.545***",="0.000"
="",="(0.161)",="(0.161)",="(0.161)",="(.)",="(0.231)",="(0.230)",="(0.229)",="(.)"
="National Cancer Institute",="0.050",="0.067",="0.049",="0.000",="0.196",="0.242",="0.257",="0.000"
="",="(0.126)",="(0.126)",="(0.126)",="(.)",="(0.222)",="(0.223)",="(0.222)",="(.)"
="National Health and Medical Rese",="-0.608***",="-0.598***",="-0.607***",="0.000",="-0.338",="-0.299",="-0.291",="0.000"
="",="(0.149)",="(0.149)",="(0.149)",="(.)",="(0.257)",="(0.257)",="(0.257)",="(.)"
="Wellcome Trust",="-0.393",="-0.433",="-0.452",="0.000",="-1.527***",="-1.436***",="-1.426***",="0.000"
="",="(0.359)",="(0.359)",="(0.360)",="(.)",="(0.440)",="(0.447)",="(0.443)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
