="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="20.186***",="20.186***",="12.969***",="20.186***",="24.842***",="24.842***",="17.091***",="24.842***"
="",="(1.384)",="(1.379)",="(1.354)",="(1.783)",="(4.086)",="(4.057)",="(3.917)",="(4.884)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="10.743***",="10.793***",="10.461***",="0.000",="9.113***",="9.041***",="8.890***",="0.000"
="",="(0.715)",="(0.710)",="(0.664)",="(.)",="(1.126)",="(1.099)",="(1.035)",="(.)"
="National Cancer Institute",="1.512***",="1.813***",="2.143***",="0.000",="1.638",="2.191**",="1.229",="0.000"
="",="(0.433)",="(0.433)",="(0.409)",="(.)",="(1.010)",="(0.989)",="(0.939)",="(.)"
="National Health and Medical Rese",="0.972",="1.158*",="1.691**",="0.000",="-1.016",="-0.537",="0.394",="0.000"
="",="(0.682)",="(0.679)",="(0.658)",="(.)",="(1.322)",="(1.302)",="(1.193)",="(.)"
="Wellcome Trust",="-4.414***",="-4.414***",="2.088***",="0.000",="-6.171***",="-5.360***",="-3.710*",="0.000"
="",="(0.870)",="(0.863)",="(0.792)",="(.)",="(1.755)",="(1.811)",="(1.955)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="4.765**",="4.765**",="4.961***",="4.765**",="0.110",="0.110",="0.334",="0.110"
="",="(1.886)",="(1.879)",="(1.841)",="(2.254)",="(4.283)",="(4.254)",="(4.188)",="(5.075)"
="post_flag=1 # National Cancer Institute",="-0.081",="-0.081",="-0.084",="-0.081",="-3.206",="-3.206",="-2.954",="-3.206"
