="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="1.918***",="1.918***",="0.531***",="1.918***",="1.849***",="1.849***",="0.474*",="1.849***"
="",="(0.147)",="(0.145)",="(0.139)",="(0.146)",="(0.294)",="(0.290)",="(0.270)",="(0.311)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="1.705***",="1.707***",="1.661***",="0.000",="1.510***",="1.494***",="1.489***",="0.000"
="",="(0.165)",="(0.164)",="(0.157)",="(.)",="(0.214)",="(0.211)",="(0.197)",="(.)"
="National Cancer Institute",="0.725***",="0.746***",="0.833***",="0.000",="0.654***",="0.731***",="0.571***",="0.000"
="",="(0.085)",="(0.084)",="(0.078)",="(.)",="(0.168)",="(0.165)",="(0.149)",="(.)"
="National Health and Medical Rese",="0.222**",="0.254**",="0.366***",="0.000",="0.026",="0.096",="0.269",="0.000"
="",="(0.101)",="(0.100)",="(0.093)",="(.)",="(0.207)",="(0.204)",="(0.184)",="(.)"
="Wellcome Trust",="-0.558***",="-0.568***",="0.758***",="0.000",="-0.785**",="-0.654*",="-0.341",="0.000"
="",="(0.176)",="(0.173)",="(0.152)",="(.)",="(0.380)",="(0.395)",="(0.352)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="0.745***",="0.745***",="0.790***",="0.745***",="0.815**",="0.815**",="0.862***",="0.815**"
="",="(0.241)",="(0.239)",="(0.230)",="(0.246)",="(0.352)",="(0.347)",="(0.326)",="(0.369)"
="post_flag=1 # National Cancer Institute",="0.249",="0.249",="0.248",="0.249",="0.355",="0.355",="0.408",="0.355"
="",="(0.159)",="(0.158)",="(0.151)",="(0.157)",="(0.317)",="(0.312)",="(0.292)",="(0.330)"
="post_flag=1 # National Health and Medical Rese",="0.689***",="0.689***",="0.654***",="0.689***",="0.650*",="0.650*",="0.604*",="0.650*"
="",="(0.193)",="(0.191)",="(0.182)",="(0.188)",="(0.378)",="(0.373)",="(0.346)",="(0.375)"
="post_flag=1 # Wellcome Trust",="-0.168",="-0.168",="-0.483",="-0.168",="-0.784",="-0.784",="-0.811",="-0.784"
="",="(0.341)",="(0.337)",="(0.313)",="(0.309)",="(0.698)",="(0.715)",="(0.749)",="(0.922)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="-0.845***",="-0.939***",="-1.118***",="",="-0.906***",="-0.976***",="-1.138***",=""
="",="(0.197)",="(0.195)",="(0.189)",="",="(0.199)",="(0.197)",="(0.191)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.267***",="-0.195***",="-0.071",="",="-0.796***",="-0.599***",="-0.244*",=""
="",="(0.074)",="(0.074)",="(0.071)",="",="(0.162)",="(0.170)",="(0.136)",=""
="start_year=2009",="0.323***",="0.342***",="0.203***",="",="-0.248",="-0.198",="-0.131",=""
="",="(0.068)",="(0.068)",="(0.065)",="",="(0.163)",="(0.170)",="(0.148)",=""
="start_year=2010",="0.245***",="0.326***",="0.383***",="",="-0.102",="0.293",="-0.071",=""
="",="(0.094)",="(0.094)",="(0.091)",="",="(0.255)",="(0.253)",="(0.253)",=""
="start_year=2011",="-0.124",="-0.007",="0.086",="",="0.720***",="0.858***",="0.845***",=""
="",="(0.083)",="(0.082)",="(0.079)",="",="(0.223)",="(0.224)",="(0.199)",=""
="start_year=2012",="-0.515***",="-0.437***",="-0.152**",="",="0.601**",="0.875***",="0.972***",=""
="",="(0.071)",="(0.071)",="(0.067)",="",="(0.280)",="(0.284)",="(0.234)",=""
="F",="",="-0.901***",="-0.920***",="",="",="-0.809***",="-1.014***",=""
="",="",="(0.080)",="(0.078)",="",="",="(0.196)",="(0.188)",=""
="M",="",="1.074***",="0.214***",="",="",="0.775***",="0.117",=""
="",="",="(0.076)",="(0.076)",="",="",="(0.175)",="(0.167)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="0.493***",="",="",="",="0.447***",=""
="",="",="",="(0.005)",="",="",="",="(0.014)",=""
="rsr_career_age_2",="",="",="-0.008***",="",="",="",="-0.007***",=""
="",="",="",="(0.000)",="",="",="",="(0.000)",=""
="Constant",="4.533***",="4.145***",="0.394***",="5.149***",="4.621***",="4.297***",="0.718***",="4.930***"
="",="(0.087)",="(0.111)",="(0.103)",="(0.022)",="(0.190)",="(0.243)",="(0.239)",="(0.086)"
="Observations",="132913",="132913",="132913",="132913",="126544",="126544",="126544",="126544"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
