="",="(1)",="(2)"
="",="nb_pubs",="nb_pubs"
="period_6",="0.702***",="0.953***"
="",="(0.115)",="(0.287)"
="period_2",="0.092",="-0.044"
="",="(0.095)",="(0.249)"
="period_3",="0.000",="0.000"
="",="(.)",="(.)"
="period_4",="0.000",="0.000"
="",="(.)",="(.)"
="period_5",="0.000",="0.000"
="",="(.)",="(.)"
="period_7",="1.219***",="1.245***"
="",="(0.135)",="(0.251)"
="period_8",="1.647***",="1.570***"
="",="(0.170)",="(0.336)"
="period_9",="2.231***",="2.219***"
="",="(0.184)",="(0.357)"
="period_10",="2.737***",="2.438***"
="",="(0.228)",="(0.512)"
="period_11",="2.418***",="2.528***"
="",="(0.220)",="(0.494)"
="int_period_2_x_funder_2",="-0.099",="0.036"
="",="(0.144)",="(0.271)"
="int_period_2_x_funder_3",="-0.065",="0.142"
="",="(0.101)",="(0.261)"
="int_period_2_x_funder_4",="-0.221*",="0.138"
="",="(0.115)",="(0.297)"
="int_period_2_x_funder_5",="0.058",="-0.250"
="",="(0.211)",="(0.534)"
="int_period_3_x_funder_2",="0.000",="0.000"
="",="(.)",="(.)"
="int_period_3_x_funder_3",="0.000",="0.000"
="",="(.)",="(.)"
="int_period_3_x_funder_4",="0.000",="0.000"
="",="(.)",="(.)"
="int_period_3_x_funder_5",="0.000",="0.000"
="",="(.)",="(.)"
="int_period_4_x_funder_2",="0.000",="0.000"
="",="(.)",="(.)"
="int_period_4_x_funder_3",="0.000",="0.000"
="",="(.)",="(.)"
="int_period_4_x_funder_4",="0.000",="0.000"
="",="(.)",="(.)"
="int_period_4_x_funder_5",="0.000",="0.000"
="",="(.)",="(.)"
="int_period_5_x_funder_2",="0.000",="0.000"
="",="(.)",="(.)"
="int_period_5_x_funder_3",="0.000",="0.000"
="",="(.)",="(.)"
="int_period_5_x_funder_4",="0.000",="0.000"
="",="(.)",="(.)"
="int_period_5_x_funder_5",="0.000",="0.000"
="",="(.)",="(.)"
="int_period_6_x_funder_2",="1.312**",="1.061"
="",="(0.616)",="(0.670)"
="int_period_6_x_funder_3",="0.435***",="0.230"
="",="(0.138)",="(0.304)"
="int_period_6_x_funder_4",="0.619***",="0.138"
="",="(0.146)",="(0.368)"
="int_period_6_x_funder_5",="0.301",="-0.216"
="",="(0.251)",="(0.470)"
="int_period_7_x_funder_2",="0.893***",="0.867***"
="",="(0.221)",="(0.306)"
="int_period_7_x_funder_3",="0.636***",="0.626*"
="",="(0.191)",="(0.340)"
="int_period_7_x_funder_4",="0.756***",="0.366"
="",="(0.254)",="(0.348)"
="int_period_7_x_funder_5",="0.118",="-0.799"
="",="(0.287)",="(0.777)"
="int_period_8_x_funder_2",="1.108***",="1.185***"
="",="(0.271)",="(0.396)"
="int_period_8_x_funder_3",="0.416**",="0.499"
="",="(0.183)",="(0.357)"
="int_period_8_x_funder_4",="0.620***",="1.044**"
="",="(0.212)",="(0.436)"
="int_period_8_x_funder_5",="-0.228",="-0.696"
="",="(0.327)",="(0.503)"
="int_period_9_x_funder_2",="0.796***",="0.808*"
="",="(0.293)",="(0.423)"
="int_period_9_x_funder_3",="0.199",="0.299"
="",="(0.206)",="(0.393)"
="int_period_9_x_funder_4",="0.511**",="0.452"
="",="(0.230)",="(0.454)"
="int_period_9_x_funder_5",="-0.244",="-1.258"
="",="(0.359)",="(0.922)"
="int_period_10_x_funder_2",="0.690**",="0.989*"
="",="(0.330)",="(0.565)"
="int_period_10_x_funder_3",="-0.003",="0.372"
="",="(0.243)",="(0.532)"
="int_period_10_x_funder_4",="0.809**",="0.960"
="",="(0.327)",="(0.622)"
="int_period_10_x_funder_5",="0.046",="-0.115"
="",="(0.822)",="(1.831)"
="int_period_11_x_funder_2",="1.251***",="1.142**"
="",="(0.343)",="(0.559)"
="int_period_11_x_funder_3",="0.304",="0.289"
="",="(0.233)",="(0.516)"
="int_period_11_x_funder_4",="1.079***",="0.658"
="",="(0.271)",="(0.615)"
="int_period_11_x_funder_5",="-0.232",="-1.443"
="",="(0.411)",="(1.403)"
="Constant",="4.949***",="4.729***"
="",="(0.025)",="(0.101)"
="Observations",="132913",="126544"
="YearFE",="Yes",="Yes"
="AffiliationFE",="Yes",="Yes"
="ResearcherFE",="Yes",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
