="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="-19.191",="-18.780",="-18.261",="-19.960",="-59.713***",="-59.501***",="-59.234***",="-57.749***"
="",="(14.938)",="(14.892)",="(14.956)",="(13.638)",="(21.698)",="(21.889)",="(21.825)",="(19.532)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-18.775",="-19.342",="-20.124",="0.000",="-44.603**",="-43.361**",="-43.505**",="0.000"
="",="(12.264)",="(12.312)",="(12.303)",="(.)",="(21.723)",="(21.804)",="(21.541)",="(.)"
="National Cancer Institute",="-8.549",="-7.065",="-8.142",="0.000",="-31.998",="-29.346",="-29.403",="0.000"
="",="(10.110)",="(10.084)",="(10.086)",="(.)",="(21.495)",="(22.233)",="(22.127)",="(.)"
="National Health and Medical Rese",="-0.302",="0.641",="-0.675",="0.000",="-12.615",="-10.307",="-10.338",="0.000"
="",="(12.254)",="(12.243)",="(12.260)",="(.)",="(24.130)",="(24.397)",="(24.138)",="(.)"
="Wellcome Trust",="-25.737*",="-27.169*",="-30.436**",="0.000",="-58.526**",="-62.859***",="-63.000***",="0.000"
="",="(14.905)",="(14.992)",="(14.839)",="(.)",="(23.029)",="(22.856)",="(22.532)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="-17.179",="-17.123",="-16.286",="-19.321",="23.688",="23.349",="23.307",="18.468"
="",="(17.301)",="(17.298)",="(17.251)",="(17.156)",="(23.444)",="(23.561)",="(23.406)",="(22.133)"
="post_flag=1 # National Cancer Institute",="-25.788*",="-26.196*",="-25.868*",="-29.878**",="10.190",="9.985",="9.970",="2.984"
="",="(15.343)",="(15.316)",="(15.267)",="(14.190)",="(22.904)",="(23.138)",="(23.048)",="(21.813)"
