="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="4.121**",="4.167**",="4.204**",="4.224**",="-0.490",="-0.450",="-0.513",="-0.470"
="",="(1.896)",="(1.888)",="(1.888)",="(1.946)",="(2.409)",="(2.426)",="(2.376)",="(2.443)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-1.292",="-1.350",="-1.424",="0.000",="-3.683*",="-3.560*",="-3.611*",="0.000"
="",="(1.096)",="(1.104)",="(1.105)",="(.)",="(1.948)",="(1.961)",="(1.941)",="(.)"
="National Cancer Institute",="-0.677",="-0.484",="-0.615",="0.000",="-2.873",="-2.535",="-2.600",="0.000"
="",="(0.850)",="(0.848)",="(0.847)",="(.)",="(1.876)",="(1.943)",="(1.933)",="(.)"
="National Health and Medical Rese",="0.455",="0.573",="0.421",="0.000",="-0.681",="-0.411",="-0.507",="0.000"
="",="(1.081)",="(1.082)",="(1.084)",="(.)",="(2.176)",="(2.203)",="(2.184)",="(.)"
="Wellcome Trust",="-1.662",="-1.853",="-2.240",="0.000",="-4.740**",="-5.258**",="-5.335**",="0.000"
="",="(1.477)",="(1.487)",="(1.471)",="(.)",="(2.101)",="(2.102)",="(2.080)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
