="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="1.087***",="1.087***",="0.920***",="1.087***",="1.032***",="1.032***",="0.852**",="1.032*"
="",="(0.222)",="(0.222)",="(0.223)",="(0.282)",="(0.388)",="(0.390)",="(0.406)",="(0.574)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="0.066",="0.078",="0.192",="0.000",="-0.108",="-0.080",="0.135",="0.000"
="",="(0.125)",="(0.125)",="(0.123)",="(.)",="(0.176)",="(0.178)",="(0.182)",="(.)"
="National Cancer Institute",="-0.364***",="-0.362***",="-0.267***",="0.000",="-0.467***",="-0.487***",="-0.325**",="0.000"
="",="(0.091)",="(0.091)",="(0.090)",="(.)",="(0.158)",="(0.159)",="(0.160)",="(.)"
="National Health and Medical Rese",="-0.207**",="-0.202**",="-0.103",="0.000",="-0.161",="-0.142",="0.021",="0.000"
="",="(0.101)",="(0.101)",="(0.100)",="(.)",="(0.174)",="(0.177)",="(0.180)",="(.)"
="Wellcome Trust",="-0.348**",="-0.325*",="-0.164",="0.000",="-0.524***",="-0.460**",="-0.202",="0.000"
="",="(0.175)",="(0.176)",="(0.177)",="(.)",="(0.197)",="(0.205)",="(0.210)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="0.136",="0.136",="0.104",="0.136",="0.191",="0.191",="0.137",="0.191"
="",="(0.334)",="(0.334)",="(0.332)",="(0.458)",="(0.460)",="(0.461)",="(0.468)",="(0.678)"
="post_flag=1 # National Cancer Institute",="-0.466**",="-0.466**",="-0.489**",="-0.466",="-0.285",="-0.285",="-0.327",="-0.285"
="",="(0.226)",="(0.226)",="(0.226)",="(0.287)",="(0.399)",="(0.401)",="(0.409)",="(0.592)"
="post_flag=1 # National Health and Medical Rese",="0.321",="0.321",="0.297",="0.321",="0.092",="0.092",="0.049",="0.092"
="",="(0.270)",="(0.270)",="(0.270)",="(0.355)",="(0.493)",="(0.494)",="(0.498)",="(0.692)"
="post_flag=1 # Wellcome Trust",="-0.094",="-0.094",="-0.124",="-0.094",="0.021",="0.021",="-0.031",="0.021"
="",="(0.460)",="(0.460)",="(0.461)",="(0.563)",="(0.669)",="(0.670)",="(0.680)",="(0.941)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="-1.062***",="-1.059***",="-1.075***",="",="-1.066***",="-1.072***",="-1.078***",=""
="",="(0.162)",="(0.163)",="(0.159)",="",="(0.163)",="(0.161)",="(0.161)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.063",="-0.074",="-0.075",="",="0.156",="0.128",="0.182",=""
="",="(0.053)",="(0.053)",="(0.053)",="",="(0.196)",="(0.203)",="(0.200)",=""
="start_year=2009",="0.065",="0.067",="0.019",="",="0.715***",="0.739***",="0.592**",=""
="",="(0.050)",="(0.050)",="(0.050)",="",="(0.256)",="(0.257)",="(0.241)",=""
="start_year=2010",="0.102*",="0.107*",="0.060",="",="-0.134",="-0.112",="-0.178",=""
="",="(0.058)",="(0.058)",="(0.057)",="",="(0.215)",="(0.212)",="(0.211)",=""
="start_year=2011",="0.159**",="0.146**",="0.097",="",="-0.264**",="-0.284**",="-0.384***",=""
="",="(0.064)",="(0.064)",="(0.063)",="",="(0.130)",="(0.131)",="(0.137)",=""
="start_year=2012",="0.186***",="0.187***",="0.164**",="",="-0.332**",="-0.332**",="-0.435***",=""
="",="(0.067)",="(0.067)",="(0.066)",="",="(0.161)",="(0.159)",="(0.167)",=""
="F",="",="0.272***",="0.255***",="",="",="0.397**",="0.397**",=""
="",="",="(0.051)",="(0.050)",="",="",="(0.162)",="(0.160)",=""
="M",="",="-0.007",="-0.157***",="",="",="0.122",="-0.042",=""
="",="",="(0.044)",="(0.045)",="",="",="(0.146)",="(0.147)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="0.062***",="",="",="",="0.071***",=""
="",="",="",="(0.005)",="",="",="",="(0.012)",=""
