="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="16.557***",="16.557***",="14.166***",="16.557***",="18.024***",="18.024***",="15.781**",="18.024"
="",="(3.337)",="(3.339)",="(3.358)",="(5.362)",="(6.762)",="(6.777)",="(7.047)",="(11.286)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="3.746***",="3.954***",="5.522***",="0.000",="0.216",="0.611",="3.576*",="0.000"
="",="(1.188)",="(1.192)",="(1.165)",="(.)",="(1.837)",="(1.854)",="(1.898)",="(.)"
="National Cancer Institute",="-2.557***",="-2.496***",="-1.269",="0.000",="-4.872***",="-5.130***",="-2.869*",="0.000"
="",="(0.839)",="(0.848)",="(0.844)",="(.)",="(1.679)",="(1.703)",="(1.703)",="(.)"
="National Health and Medical Rese",="-2.586***",="-2.494***",="-1.194",="0.000",="-3.222*",="-2.949",="-0.668",="0.000"
="",="(0.945)",="(0.953)",="(0.947)",="(.)",="(1.947)",="(1.988)",="(2.006)",="(.)"
="Wellcome Trust",="-3.830**",="-3.503**",="-1.396",="0.000",="-7.527***",="-6.664***",="-3.186",="0.000"
="",="(1.773)",="(1.777)",="(1.804)",="(.)",="(1.998)",="(2.145)",="(2.261)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="1.551",="1.551",="1.237",="1.551",="0.085",="0.085",="-0.879",="0.085"
="",="(4.708)",="(4.708)",="(4.690)",="(7.371)",="(7.516)",="(7.530)",="(7.668)",="(12.367)"
="post_flag=1 # National Cancer Institute",="-7.507**",="-7.507**",="-7.732**",="-7.507",="-7.103",="-7.103",="-7.846",="-7.103"
