="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="0.677***",="0.677***",="0.434**",="0.677***",="0.482",="0.482",="0.316",="0.482"
="",="(0.168)",="(0.169)",="(0.169)",="(0.154)",="(0.336)",="(0.337)",="(0.344)",="(0.366)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="0.341**",="0.355**",="0.530***",="0.000",="0.034",="0.063",="0.337",="0.000"
="",="(0.140)",="(0.141)",="(0.137)",="(.)",="(0.232)",="(0.234)",="(0.234)",="(.)"
="National Cancer Institute",="-0.116",="-0.119",="0.033",="0.000",="-0.169",="-0.176",="0.037",="0.000"
="",="(0.097)",="(0.099)",="(0.097)",="(.)",="(0.216)",="(0.215)",="(0.215)",="(.)"
="National Health and Medical Rese",="-0.347***",="-0.341***",="-0.186*",="0.000",="-0.310",="-0.286",="-0.070",="0.000"
="",="(0.104)",="(0.105)",="(0.103)",="(.)",="(0.248)",="(0.250)",="(0.250)",="(.)"
="Wellcome Trust",="-0.753***",="-0.715***",="-0.459***",="0.000",="-1.029***",="-0.990***",="-0.683***",="0.000"
="",="(0.115)",="(0.117)",="(0.120)",="(.)",="(0.229)",="(0.238)",="(0.241)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="0.326",="0.326",="0.263",="0.326",="0.522",="0.522",="0.397",="0.522"
="",="(0.255)",="(0.256)",="(0.252)",="(0.265)",="(0.386)",="(0.387)",="(0.389)",="(0.425)"
="post_flag=1 # National Cancer Institute",="-0.081",="-0.081",="-0.126",="-0.081",="0.158",="0.158",="0.062",="0.158"
="",="(0.172)",="(0.174)",="(0.172)",="(0.159)",="(0.348)",="(0.350)",="(0.352)",="(0.375)"
="post_flag=1 # National Health and Medical Rese",="0.035",="0.035",="-0.012",="0.035",="0.154",="0.154",="0.056",="0.154"
="",="(0.189)",="(0.190)",="(0.189)",="(0.177)",="(0.402)",="(0.402)",="(0.403)",="(0.418)"
="post_flag=1 # Wellcome Trust",="-0.621***",="-0.621***",="-0.680***",="-0.621***",="-0.389",="-0.389",="-0.508",="-0.389"
="",="(0.196)",="(0.198)",="(0.201)",="(0.173)",="(0.367)",="(0.369)",="(0.371)",="(0.388)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="-1.291***",="-1.282***",="-1.312***",="",="-1.289***",="-1.301***",="-1.320***",=""
="",="(0.146)",="(0.148)",="(0.144)",="",="(0.145)",="(0.144)",="(0.145)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.118**",="-0.134**",="-0.133**",="",="-0.103",="-0.122",="-0.051",=""
="",="(0.059)",="(0.059)",="(0.058)",="",="(0.152)",="(0.157)",="(0.153)",=""
="start_year=2009",="-0.091*",="-0.088*",="-0.147***",="",="0.247*",="0.270*",="0.129",=""
="",="(0.052)",="(0.052)",="(0.051)",="",="(0.141)",="(0.140)",="(0.137)",=""
="start_year=2010",="-0.154***",="-0.147***",="-0.216***",="",="-0.287*",="-0.273*",="-0.368**",=""
="",="(0.054)",="(0.054)",="(0.053)",="",="(0.167)",="(0.165)",="(0.161)",=""
="start_year=2011",="-0.032",="-0.055",="-0.124**",="",="-0.293**",="-0.309**",="-0.431***",=""
="",="(0.060)",="(0.059)",="(0.058)",="",="(0.129)",="(0.130)",="(0.131)",=""
="start_year=2012",="-0.191***",="-0.190***",="-0.212***",="",="-0.549***",="-0.546***",="-0.648***",=""
="",="(0.055)",="(0.055)",="(0.054)",="",="(0.123)",="(0.122)",="(0.123)",=""
="F",="",="0.371***",="0.348***",="",="",="0.358***",="0.365***",=""
="",="",="(0.048)",="(0.047)",="",="",="(0.125)",="(0.122)",=""
="M",="",="-0.062",="-0.278***",="",="",="0.175",="-0.017",=""
="",="",="(0.043)",="(0.043)",="",="",="(0.118)",="(0.118)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="0.106***",="",="",="",="0.117***",=""
="",="",="",="(0.004)",="",="",="",="(0.009)",=""
="rsr_career_age_2",="",="",="-0.002***",="",="",="",="-0.002***",=""
="",="",="",="(0.000)",="",="",="",="(0.000)",=""
="Constant",="1.303***",="1.200***",="0.305***",="1.069***",="1.647***",="1.409***",="0.385",="1.190***"
="",="(0.102)",="(0.111)",="(0.109)",="(0.015)",="(0.218)",="(0.235)",="(0.234)",="(0.038)"
="Observations",="24750",="24750",="24750",="24750",="23320",="23320",="23320",="23320"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
