="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub",="citations_per_pub"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="-39.766***",="-39.814***",="-38.560***",="-44.538***",="-17.341*",="-17.415*",="-19.553**",="-21.943***"
="",="(12.030)",="(12.021)",="(12.205)",="(15.129)",="(9.361)",="(9.399)",="(9.790)",="(7.700)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-78.519***",="-76.082***",="-76.948***",="0.000",="-62.565***",="-66.059***",="-63.552***",="0.000"
="",="(13.101)",="(13.344)",="(13.838)",="(.)",="(14.689)",="(15.534)",="(15.631)",="(.)"
="National Cancer Institute",="-5.661",="-4.104",="-4.342",="0.000",="6.055",="8.174",="7.427",="0.000"
="",="(11.696)",="(11.707)",="(11.818)",="(.)",="(10.245)",="(10.585)",="(10.314)",="(.)"
="National Health and Medical Rese",="-6.777",="-5.104",="-5.501",="0.000",="28.855**",="29.057**",="27.022**",="0.000"
="",="(14.015)",="(13.880)",="(13.963)",="(.)",="(11.473)",="(11.672)",="(12.089)",="(.)"
="Wellcome Trust",="-46.833***",="-44.339***",="-41.475***",="0.000",="-16.645",="-8.929",="-12.975",="0.000"
="",="(13.677)",="(14.074)",="(14.327)",="(.)",="(12.382)",="(12.306)",="(13.977)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="40.182***",="37.390**",="35.736**",="42.538***",="8.345",="11.508",="19.850",="19.943**"
="",="(14.503)",="(14.797)",="(15.654)",="(15.129)",="(13.520)",="(13.476)",="(15.098)",="(7.700)"
="post_flag=1 # National Cancer Institute",="6.538",="6.665",="6.397",="13.186",="-11.445",="-10.720",="-9.789",="-3.248"
="",="(13.611)",="(13.629)",="(13.574)",="(16.632)",="(11.359)",="(11.394)",="(11.439)",="(8.996)"
