="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year",="citations_per_pub_per_year"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="-0.561",="-0.570",="-0.401",="-0.977",="1.113",="1.100",="0.476",="0.936**"
="",="(1.114)",="(1.116)",="(1.150)",="(1.229)",="(1.082)",="(1.093)",="(1.136)",="(0.402)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-6.195***",="-5.806***",="-5.948***",="0.000",="-5.023***",="-5.485***",="-4.800***",="0.000"
="",="(1.219)",="(1.306)",="(1.416)",="(.)",="(1.705)",="(1.756)",="(1.615)",="(.)"
="National Cancer Institute",="-0.206",="0.069",="0.030",="0.000",="1.181",="1.553",="1.182",="0.000"
="",="(0.957)",="(0.956)",="(0.973)",="(.)",="(0.992)",="(1.089)",="(1.051)",="(.)"
="National Health and Medical Rese",="0.002",="0.291",="0.249",="0.000",="2.935***",="2.983***",="2.222**",="0.000"
="",="(1.190)",="(1.199)",="(1.211)",="(.)",="(1.033)",="(1.061)",="(1.104)",="(.)"
="Wellcome Trust",="-4.146***",="-3.670***",="-3.334**",="0.000",="-0.708",="0.522",="-0.392",="0.000"
="",="(1.261)",="(1.299)",="(1.382)",="(.)",="(1.311)",="(1.376)",="(1.561)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
