="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries",="nb_collab_countries"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="0.079",="0.079",="-0.049",="0.079",="0.256",="0.256",="-0.405",="0.256"
="",="(0.349)",="(0.349)",="(0.349)",="(0.208)",="(0.381)",="(0.387)",="(0.369)",="(0.175)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-1.031***",="-0.989***",="-1.024***",="0.000",="-0.718",="-0.762",="-0.257",="0.000"
="",="(0.268)",="(0.268)",="(0.262)",="(.)",="(0.501)",="(0.517)",="(0.470)",="(.)"
="National Cancer Institute",="-0.573**",="-0.554**",="-0.469*",="0.000",="-0.694*",="-0.451",="0.406",="0.000"
="",="(0.256)",="(0.257)",="(0.252)",="(.)",="(0.375)",="(0.422)",="(0.471)",="(.)"
="National Health and Medical Rese",="-0.336",="-0.309",="-0.179",="0.000",="1.536**",="1.687**",="1.759**",="0.000"
="",="(0.277)",="(0.279)",="(0.275)",="(.)",="(0.723)",="(0.753)",="(0.708)",="(.)"
="Wellcome Trust",="-0.800***",="-0.815***",="-0.589**",="0.000",="0.281",="0.700",="0.941**",="0.000"
="",="(0.257)",="(0.257)",="(0.249)",="(.)",="(0.356)",="(0.430)",="(0.461)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="-0.062",="-0.062",="-0.151",="-0.062",="-0.240",="-0.240",="-0.083",="-0.240"
="",="(0.359)",="(0.360)",="(0.354)",="(0.224)",="(0.456)",="(0.465)",="(0.377)",="(0.194)"
="post_flag=1 # National Cancer Institute",="0.284",="0.284",="0.227",="0.284",="-0.043",="-0.043",="0.080",="-0.043"
="",="(0.357)",="(0.357)",="(0.355)",="(0.221)",="(0.391)",="(0.397)",="(0.369)",="(0.184)"
="post_flag=1 # National Health and Medical Rese",="0.701",="0.701",="0.603",="0.701",="0.046",="0.046",="0.175",="0.046"
="",="(0.446)",="(0.447)",="(0.442)",="(0.450)",="(0.860)",="(0.849)",="(0.759)",="(0.320)"
="post_flag=1 # Wellcome Trust",="0.684",="0.684",="0.583",="0.684*",="-0.786",="-0.786",="-0.951**",="-0.786***"
="",="(0.443)",="(0.443)",="(0.429)",="(0.402)",="(0.520)",="(0.525)",="(0.475)",="(0.248)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="0.114",="0.159",="0.795***",="",="0.458",="0.469",="0.922***",=""
="",="(0.107)",="(0.111)",="(0.125)",="",="(0.330)",="(0.315)",="(0.305)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.099",="-0.101",="-0.096",="",="0.304",="0.585*",="0.361",=""
="",="(0.107)",="(0.107)",="(0.107)",="",="(0.281)",="(0.352)",="(0.325)",=""
="start_year=2009",="0.738***",="0.748***",="0.627***",="",="3.228***",="3.314***",="1.993***",=""
="",="(0.151)",="(0.151)",="(0.149)",="",="(0.725)",="(0.732)",="(0.594)",=""
="start_year=2010",="-0.059",="-0.040",="-0.048",="",="1.582***",="1.766***",="0.108",=""
="",="(0.095)",="(0.094)",="(0.095)",="",="(0.340)",="(0.380)",="(0.216)",=""
="start_year=2011",="0.160",="0.164",="0.178",="",="1.338***",="1.421***",="1.412***",=""
="",="(0.136)",="(0.135)",="(0.133)",="",="(0.488)",="(0.500)",="(0.430)",=""
="start_year=2012",="-0.002",="-0.013",="-0.084",="",="1.437***",="1.787***",="0.714**",=""
="",="(0.112)",="(0.118)",="(0.119)",="",="(0.333)",="(0.415)",="(0.285)",=""
="F",="",="0.177*",="0.205**",="",="",="-0.375",="-0.423*",=""
="",="",="(0.104)",="(0.104)",="",="",="(0.248)",="(0.236)",=""
="M",="",="0.154",="0.085",="",="",="0.225",="-0.343*",=""
="",="",="(0.098)",="(0.096)",="",="",="(0.279)",="(0.205)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="0.078***",="",="",="",="0.026",=""
="",="",="",="(0.008)",="",="",="",="(0.039)",=""
