="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs",="nb_collabs"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="3.402*",="3.402*",="2.612",="3.402**",="5.332**",="5.332**",="1.417",="5.332***"
="",="(1.927)",="(1.926)",="(1.916)",="(1.364)",="(2.308)",="(2.348)",="(2.281)",="(1.546)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-4.806***",="-4.293***",="-4.545***",="0.000",="-2.470",="-2.471",="0.249",="0.000"
="",="(1.242)",="(1.293)",="(1.218)",="(.)",="(2.576)",="(2.715)",="(2.404)",="(.)"
="National Cancer Institute",="-1.341",="-0.897",="-0.361",="0.000",="-1.595",="0.166",="4.317*",="0.000"
="",="(1.129)",="(1.138)",="(1.129)",="(.)",="(1.750)",="(2.101)",="(2.412)",="(.)"
="National Health and Medical Rese",="-1.919",="-1.352",="-0.531",="0.000",="8.632**",="9.689**",="9.541***",="0.000"
="",="(1.212)",="(1.225)",="(1.215)",="(.)",="(3.607)",="(3.775)",="(3.506)",="(.)"
="Wellcome Trust",="-3.666***",="-3.630***",="-2.176*",="0.000",="2.829",="5.542**",="6.116**",="0.000"
="",="(1.151)",="(1.157)",="(1.144)",="(.)",="(1.785)",="(2.219)",="(2.449)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="-3.286",="-3.286",="-3.878*",="-3.286**",="-5.215*",="-5.215*",="-3.925",="-5.215***"
="",="(2.044)",="(2.078)",="(2.015)",="(1.458)",="(2.784)",="(2.897)",="(2.399)",="(1.629)"
="post_flag=1 # National Cancer Institute",="-0.764",="-0.764",="-1.138",="-0.764",="-3.648",="-3.648",="-2.627",="-3.648**"
