="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs",="nb_pubs"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="0.417",="0.417",="0.258",="0.417*",="0.640*",="0.640*",="-0.236",="0.640**"
="",="(0.317)",="(0.317)",="(0.314)",="(0.243)",="(0.370)",="(0.374)",="(0.377)",="(0.281)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-1.022***",="-0.921***",="-0.963***",="0.000",="-0.640",="-0.561",="0.082",="0.000"
="",="(0.205)",="(0.216)",="(0.201)",="(.)",="(0.439)",="(0.465)",="(0.386)",="(.)"
="National Cancer Institute",="-0.255",="-0.177",="-0.070",="0.000",="-0.555*",="-0.364",="0.686*",="0.000"
="",="(0.188)",="(0.190)",="(0.190)",="(.)",="(0.307)",="(0.389)",="(0.406)",="(.)"
="National Health and Medical Rese",="-0.400*",="-0.299",="-0.137",="0.000",="1.500**",="1.605***",="1.646***",="0.000"
="",="(0.205)",="(0.208)",="(0.207)",="(.)",="(0.587)",="(0.622)",="(0.533)",="(.)"
="Wellcome Trust",="-0.550**",="-0.552**",="-0.273",="0.000",="1.251***",="1.466***",="1.706***",="0.000"
="",="(0.234)",="(0.235)",="(0.224)",="(.)",="(0.441)",="(0.482)",="(0.519)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="-0.394",="-0.394",="-0.504",="-0.394",="-0.618",="-0.618",="-0.377",="-0.618**"
="",="(0.336)",="(0.344)",="(0.330)",="(0.258)",="(0.465)",="(0.483)",="(0.397)",="(0.294)"
="post_flag=1 # National Cancer Institute",="-0.120",="-0.120",="-0.188",="-0.120",="-0.380",="-0.380",="-0.189",="-0.380"
="",="(0.330)",="(0.331)",="(0.326)",="(0.255)",="(0.387)",="(0.391)",="(0.384)",="(0.288)"
="post_flag=1 # National Health and Medical Rese",="0.243",="0.243",="0.122",="0.243",="0.184",="0.184",="0.384",="0.184"
="",="(0.384)",="(0.384)",="(0.379)",="(0.316)",="(0.944)",="(0.937)",="(0.832)",="(0.448)"
="post_flag=1 # Wellcome Trust",="-0.071",="-0.071",="-0.195",="-0.071",="-2.379***",="-2.379***",="-2.634***",="-2.379***"
="",="(0.403)",="(0.402)",="(0.384)",="(0.442)",="(0.688)",="(0.691)",="(0.578)",="(0.407)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="0.139",="0.279**",="1.067***",="",="0.559*",="0.671**",="1.166***",=""
="",="(0.118)",="(0.138)",="(0.139)",="",="(0.337)",="(0.328)",="(0.351)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.117",="-0.122",="-0.116",="",="0.295",="0.398",="0.065",=""
="",="(0.113)",="(0.114)",="(0.112)",="",="(0.312)",="(0.401)",="(0.352)",=""
="start_year=2009",="1.003***",="1.021***",="0.869***",="",="3.415***",="3.436***",="1.645***",=""
="",="(0.170)",="(0.169)",="(0.167)",="",="(0.639)",="(0.650)",="(0.497)",=""
="start_year=2010",="-0.183",="-0.124",="-0.135",="",="2.006***",="2.085***",="-0.062",=""
="",="(0.119)",="(0.120)",="(0.119)",="",="(0.398)",="(0.431)",="(0.278)",=""
="start_year=2011",="0.099",="0.108",="0.125",="",="1.353***",="1.383**",="1.355***",=""
="",="(0.131)",="(0.131)",="(0.128)",="",="(0.521)",="(0.539)",="(0.437)",=""
="start_year=2012",="0.044",="0.042",="-0.046",="",="1.572***",="1.676***",="0.269",=""
="",="(0.156)",="(0.158)",="(0.158)",="",="(0.366)",="(0.448)",="(0.316)",=""
="F",="",="0.442***",="0.476***",="",="",="0.202",="0.159",=""
="",="",="(0.088)",="(0.088)",="",="",="(0.250)",="(0.228)",=""
="M",="",="0.497***",="0.410***",="",="",="0.510*",="-0.230",=""
="",="",="(0.085)",="(0.082)",="",="",="(0.270)",="(0.172)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="0.096***",="",="",="",="0.014",=""
="",="",="",="(0.009)",="",="",="",="(0.046)",=""
="rsr_career_age_2",="",="",="-0.002***",="",="",="",="0.004**",=""
="",="",="",="(0.000)",="",="",="",="(0.002)",=""
="Constant",="0.973***",="0.480**",="-0.277",="0.796***",="-0.663",="-1.175",="-1.559**",="1.959***"
="",="(0.201)",="(0.217)",="(0.224)",="(0.031)",="(0.503)",="(0.719)",="(0.667)",="(0.091)"
="Observations",="3113",="3113",="3113",="3113",="2992",="2992",="2992",="2992"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
