="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="share",="share",="share",="share",="share",="share"
="year=2008",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2009",="0.022*",="-0.012",="-0.019",="0.014",="0.004",="-0.010"
="",="(0.012)",="(0.022)",="(0.012)",="(0.014)",="(0.015)",="(0.008)"
="year=2010",="0.018",="-0.012",="-0.024**",="0.014",="0.019",="-0.016**"
="",="(0.012)",="(0.020)",="(0.011)",="(0.013)",="(0.015)",="(0.007)"
="year=2011",="0.009",="-0.017",="-0.025**",="0.015",="0.023*",="-0.006"
="",="(0.012)",="(0.020)",="(0.011)",="(0.012)",="(0.013)",="(0.007)"
="year=2012",="0.011",="-0.031*",="-0.022*",="0.019",="0.030**",="-0.005"
="",="(0.012)",="(0.018)",="(0.011)",="(0.012)",="(0.014)",="(0.007)"
="year=2013",="0.008",="-0.042**",="-0.024**",="0.026**",="0.038***",="-0.002"
="",="(0.012)",="(0.018)",="(0.011)",="(0.012)",="(0.013)",="(0.007)"
="year=2014",="0.008",="-0.052***",="-0.023**",="0.033**",="0.042***",="-0.001"
="",="(0.012)",="(0.018)",="(0.011)",="(0.013)",="(0.013)",="(0.007)"
="year=2015",="-0.006",="-0.050***",="-0.022*",="0.038***",="0.042***",="0.005"
="",="(0.014)",="(0.018)",="(0.011)",="(0.014)",="(0.014)",="(0.008)"
="year=2016",="-0.010",="-0.052***",="-0.020*",="0.043***",="0.046***",="0.004"
="",="(0.012)",="(0.018)",="(0.011)",="(0.016)",="(0.014)",="(0.008)"
="year=2017",="-0.038***",="-0.062***",="-0.017",="0.066***",="0.050***",="0.014*"
="",="(0.014)",="(0.018)",="(0.012)",="(0.021)",="(0.014)",="(0.008)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-0.053***",="-0.010**",="-0.033***",="0.013**",="0.084***",="0.003"
="",="(0.008)",="(0.005)",="(0.004)",="(0.006)",="(0.010)",="(0.003)"
="National Cancer Institute",="-0.028***",="0.006*",="0.005*",="0.009*",="0.011***",="-0.000"
="",="(0.007)",="(0.003)",="(0.003)",="(0.005)",="(0.004)",="(0.002)"
="National Health and Medical Rese",="-0.018**",="0.033***",="0.006*",="-0.036***",="-0.031***",="0.036***"
="",="(0.008)",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.003)"
="Wellcome Trust",="-0.001",="0.090***",="-0.016***",="-0.003",="-0.061***",="-0.022***"
="",="(0.010)",="(0.012)",="(0.005)",="(0.011)",="(0.007)",="(0.004)"
="ACQUIRED COGNITIVE IMPAIRMENT",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="ACUTE RESPIRATORY DISTRESS SYNDR",="-0.024***",="-0.013",="0.003",="-0.014",="-0.010",="-0.018***"
="",="(0.006)",="(0.011)",="(0.005)",="(0.009)",="(0.011)",="(0.005)"
="AGENT ORANGE & DIOXIN",="-0.027***",="-0.004",="0.003",="",="",="-0.016"
="",="(0.007)",="(0.009)",="(0.008)",="",="",="(0.010)"
="AGING",="0.348***",="0.636***",="0.157***",="0.512***",="0.363***",="0.758***"
="",="(0.022)",="(0.033)",="(0.016)",="(0.057)",="(0.030)",="(0.046)"
="ALCOHOLISM ALCOHOL USE AND HEALT",="-0.016***",="0.091***",="0.049***",="-0.004",="-0.006",="-0.009*"
="",="(0.005)",="(0.015)",="(0.008)",="(0.006)",="(0.011)",="(0.005)"
