="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="nb_pubs_in_topic",="nb_pubs_in_topic",="nb_pubs_in_topic",="nb_pubs_in_topic",="nb_pubs_in_topic",="nb_pubs_in_topic",="nb_pubs_in_topic",="nb_pubs_in_topic"
="post_flag=0",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1",="1.050***",="1.058***",="0.534***",="1.165***",="0.875***",="0.879***",="0.437**",="1.006***"
="",="(0.102)",="(0.101)",="(0.099)",="(0.113)",="(0.197)",="(0.196)",="(0.197)",="(0.255)"
="Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="INCa/INSERM/DGOS",="-0.881***",="-0.882***",="-0.953***",="0.000",="-1.016***",="-1.036***",="-1.053***",="0.000"
="",="(0.074)",="(0.074)",="(0.073)",="(.)",="(0.116)",="(0.114)",="(0.118)",="(.)"
="National Cancer Institute",="1.320***",="1.346***",="1.384***",="0.000",="1.381***",="1.388***",="1.382***",="0.000"
="",="(0.059)",="(0.058)",="(0.057)",="(.)",="(0.114)",="(0.113)",="(0.116)",="(.)"
="National Health and Medical Rese",="0.473***",="0.485***",="0.530***",="0.000",="0.410***",="0.427***",="0.570***",="0.000"
="",="(0.072)",="(0.071)",="(0.069)",="(.)",="(0.144)",="(0.142)",="(0.145)",="(.)"
="Wellcome Trust",="0.843***",="0.801***",="0.895***",="0.000",="0.983***",="1.075***",="1.004***",="0.000"
="",="(0.153)",="(0.153)",="(0.146)",="(.)",="(0.375)",="(0.374)",="(0.342)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Cancer Institute",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # National Health and Medical Rese",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="-0.230*",="-0.227*",="-0.134",="-0.253*",="-0.053",="-0.050",="0.019",="-0.094"
="",="(0.133)",="(0.133)",="(0.131)",="(0.139)",="(0.215)",="(0.214)",="(0.216)",="(0.268)"
="post_flag=1 # National Cancer Institute",="0.100",="0.099",="0.114",="0.186",="0.280",="0.278",="0.265",="0.326"
="",="(0.109)",="(0.108)",="(0.106)",="(0.118)",="(0.212)",="(0.210)",="(0.212)",="(0.265)"
