INCA ID,Dimensions Researcher ID,Additional Researcher DIM ID to combine,Additional Researcher DIM ID to combine 2,prenom_port,nom_port,URL 1,URL 2,URL 3
inca_1,ur.0642054564.81,,,Jérôme,ABADIE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0642054564.81,,
inca_2,ur.01177206360.47,,,Julien,ADAM,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01177206360.47,,
inca_3,ur.01303404424.36,ur.01067706306.01,,Antoine,ADENIS,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01303404424.36,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01067706306.01,
inca_4,ur.0673152200.72,,,Eric,ADRIAENSSENS,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0673152200.72,,
inca_5,ur.01002761217.53,,,Martine,AGGERBECK,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01002761217.53,,
inca_6,ur.01015557143.45,,,Colette,AGUERRE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01015557143.45,,
inca_7,ur.0703764143.17,,,Slimane,AIT-SI-ALI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0703764143.17,,
inca_8,ur.0664100205.45,,,Mira,AL LAKKIS,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0664100205.45,,
inca_9,ur.01324711004.03,,,Cécile,ALANIO,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01324711004.03,,
inca_11,ur.01013401200.86,,,Matthew,ALBERT,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01013401200.86,,
inca_12,ur.0625354753.25,,,Laurence,ALBIGES-SAUVIN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0625354753.25,,
inca_14,ur.01070760060.55,,,Catherine,ALIX-PANABIERES,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01070760060.55,,
inca_16,ur.01362726045.46,,,François,ALLA,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01362726045.46,,
inca_17,ur.0701407124.38,,,Isabelle,ALLEMAND,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0701407124.38,,
inca_18,ur.0645166230.83,,,Geneviève,ALMOUZNI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0645166230.83,,
inca_20,ur.01261663451.48,,,François,AMBLARD,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01261663451.48,,
inca_21,ur.0670426045.99,,,Philippe,AMIEL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0670426045.99,,
inca_22,ur.01265037264.14,,,Sebastian,AMIGORENA,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01265037264.14,,
inca_24,ur.01215505265.30,,,Catherine,ANDRE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01215505265.30,,
inca_25,ur.01254645532.16,ur.014512555651.50,,Fabrice,ANDRE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01254645532.16,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.014512555651.50,
inca_26,ur.0724247022.53,,,Thierry,ANDRE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0724247022.53,,
inca_31,ur.01027276611.67,,,Felipe,ANDREIUOLO,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01027276611.67,,
inca_32,ur.01347646261.10,,,Annie,ANDRIEUX,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01347646261.10,,
inca_33,ur.01303311306.39,,,Thomas,APARICIO,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01303311306.39,,
inca_34,ur.0700111531.34,,,Françoise,ARGOUL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0700111531.34,,
inca_36,ur.01102300560.04,,,Bernard,ASSELAIN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01102300560.04,,
inca_37,ur.01355527565.13,,,Michel,ATTAL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01355527565.13,,
inca_38,ur.01175444374.33,,,Christophe,AUBE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01175444374.33,,
inca_39,ur.0612252546.24,,,Patrick,AUBERGER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0612252546.24,,
inca_41,ur.01174006354.90,,,Didier,AUBOEUF,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01174006354.90,,
inca_43,ur.0775345264.24,,,Régis,AUBRY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0775345264.24,,
inca_44,ur.01065514105.13,,,Pascal,AUQUIER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01065514105.13,,
inca_46,ur.063442302.87,,,Alain,AURIAS,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.063442302.87,,
inca_47,ur.0604155351.04,,,Thérèse,AURRAN-SCHLEINITZ,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0604155351.04,,
inca_48,ur.0653100615.64,,,Michel,AURRAND-LIONS,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0653100615.64,,
inca_49,ur.01074534465.57,,,Johan,AUWERX,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01074534465.57,,
inca_50,ur.0717361605.96,,,Hervé,AVET-LOISEAU,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0717361605.96,,
inca_55,ur.0621665745.72,,,David,AVRAN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0621665745.72,,
inca_56,ur.0720572242.10,,,Marie-Françoise,AVRIL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0720572242.10,,
inca_58,ur.0704345046.80,,,Olivier,AYRAULT,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0704345046.80,,
inca_59,ur.01352577613.57,ur.010232772120.52,,Elie,AZOULAY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01352577613.57,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.010232772120.52,
inca_60,ur.01073260477.47,,,David,AZRIA,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01073260477.47,,
inca_63,ur.0653507160.84,,,Thomas,BACHELOT,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0653507160.84,,
inca_65,ur.0673724615.50,,,Emmanuel,BACHY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0673724615.50,,
inca_66,ur.0771222050.12,,,Ali,BADACHE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0771222050.12,,
inca_67,ur.0606303163.09,ur.013003156607.23,,Martine,BAGOT,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0606303163.09,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.013003156607.23,
inca_68,ur.0733231056.04,,,Marc,BAJENOFF,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0733231056.04,,
inca_69,ur.0663524727.04,,,Norbert,BAKALARA,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0663524727.04,,
inca_70,ur.01005677416.52,,,Patrick,BALAGUER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01005677416.52,,
inca_71,ur.01200007213.46,,,Gerard,BALDACCHINO,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01200007213.46,,
inca_72,ur.0702366542.15,,,Isabelle,BALDI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0702366542.15,,
inca_73,ur.01113173672.60,,,Sylvain,BALESTER MOURET,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01113173672.60,,
inca_74,ur.0632705021.05,ur.010105156013.36,,Corinne,BALLEYGUIER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0632705021.05,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.010105156013.36,
inca_75,ur.0724167354.34,,,Robert,BALLOTTI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0724167354.34,,
inca_76,ur.0742403141.69,,,Muriel,BARBERI-HEYOB,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0742403141.69,,
inca_77,ur.01001654663.28,,,Jacques,BARBET,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01001654663.28,,
inca_78,ur.01145776552.51,,,Pascal,BARBRY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01145776552.51,,
inca_79,ur.01202665420.90,,,Étienne,BARDET,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01202665420.90,,
inca_80,ur.01001125170.39,,,Manuel,BARDIES,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01001125170.39,,
inca_81,ur.0642307005.99,,,Emmanuel,BARILLOT,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0642307005.99,,
inca_82,ur.01235100666.56,,,Robert,BAROUKI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01235100666.56,,
inca_83,ur.01040416546.17,,,Jérôme,BARRIERE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01040416546.17,,
inca_84,ur.01227247523.10,,,Paul,BARRIERE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01227247523.10,,
inca_85,ur.01340505455.36,,,Laurent,BARTHOLIN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01340505455.36,,
inca_86,ur.0763374301.68,,,André,BARUCHEL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0763374301.68,,
inca_88,ur.01302141257.08,,,Christian,BASTARD,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01302141257.08,,
inca_89,ur.01321462127.87,,,Cyrille,BASTIDE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01321462127.87,,
inca_90,ur.01166353157.57,,,Isabelle,BASZANGER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01166353157.57,,
inca_91,ur.01160013606.21,,,François-Régis,BATAILLE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01160013606.21,,
inca_93,ur.01065565564.16,,,Maxime,BATTISTELLA,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01065565564.16,,
inca_94,ur.0577011220.24,,,Luc,BAUCHET,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0577011220.24,,
inca_95,ur.01105316544.49,,,Eric,BAUDIN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01105316544.49,,
inca_98,ur.01213504133.29,,,Anais,BAUDOT,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01213504133.29,,
inca_99,ur.0656122763.53,,,Hélène,BAYSSON,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0656122763.53,,
inca_100,ur.0650236241.03,,,Michèle,BEAU-FALLER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0650236241.03,,
inca_101,ur.01313223317.37,,,Laurent,BEAUGERIE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01313223317.37,,
inca_102,ur.01134735703.28,,,Laurent,BEDENNE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01134735703.28,,
inca_103,ur.0621223005.86,,,Laurent,BEGUE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0621223005.86,,
inca_104,ur.0722303737.42,,,Carine,BELLERA,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0722303737.42,,
inca_107,ur.01276225533.79,,,Philippe,BELMONT,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01276225533.79,,
inca_108,ur.014167447427.06,,,Martine,BEN AMAR,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.014167447427.06,,
inca_110,ur.01003012622.32,,,Lotfi,BENBOUBKER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01003012622.32,,
inca_111,ur.01046050366.58,,,Léonor,BENHAIM,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01046050366.58,,
inca_112,ur.01120723431.46,,,Yves,BENHAMOU,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01120723431.46,,
inca_113,ur.01314153676.38,,,Simone,BENHAMOU,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01314153676.38,,
inca_114,ur.0711316001.72,,,Ellen,BENHAMOU,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0711316001.72,,
inca_116,ur.0666311547.47,,,Karim,BENIHOUD,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0666311547.47,,
inca_117,ur.01003275614.87,,,René-Jean,BENSADOUN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01003275614.87,,
inca_118,ur.01364633011.64,,,Célia,BERCHI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01364633011.64,,
inca_119,ur.0775365532.31,,,Ariane,BERDAL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0775365532.31,,
inca_121,ur.01143226464.08,,,Claire,BERGER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01143226464.08,,
inca_122,ur.0761201724.99,,,François,BERGER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0761201724.99,,
