rcdc_name,INCa/INSERM/DGOS share,National Cancer Institute share,Cancer Research UK share,Wellcome Trust share,National Health and Medical Research Council share,average_share
RARE DISEASES,0.1377316905824419,0.08442200617978579,0.089402975983135,0.05924215328377241,0.061086740435385437,0.08637711329290411
GENETICS,0.1000265789118515,0.11480561969811737,0.16237852770921143,0.17258073805383378,0.11224702632834657,0.13240769814027215
DIGESTIVE DISEASES,0.0721653440733987,0.04630139747319916,0.05693487422767455,0.04940592608857929,0.0479764750472582,0.05455680338202198
BREAST CANCER,0.06469987202580475,0.06577757345103455,0.07160976052457813,0.04864694861849796,0.054828176929080874,0.06111246630979925
HEMATOLOGY,0.05281212785862348,0.025128551792136564,0.025215341841545266,0.015182135825120725,0.019250516106691016,0.02751773468482341
BIOTECHNOLOGY,0.03094996506887723,0.053146179098497615,0.04508235392810571,0.04369610004872563,0.04195818698830723,0.04296655702650268
PEDIATRIC,0.026563301345354003,0.020858228601465398,0.019255220385400368,0.01934625419018201,0.03203299157741933,0.02361119921996422
AGING,0.024120724097476436,0.03325062337942873,0.032612563474849324,0.02515387167069817,0.02911982911982901,0.028851522348456338
UROLOGIC DISEASES,0.023115075521212915,0.023957401665276115,0.028977324823913558,0.02976842067233869,0.021937307554777737,0.025551106047503803
NEUROSCIENCES,0.02187003588840156,0.021079939417696487,0.016583242579475285,0.022339191905116167,0.028276894523129592,0.02202986086276382
LUNG,0.021835482163274748,0.021819307791978527,0.01624901318392317,0.010161981662550692,0.026525717207193236,0.01931830040178408
BIOENGINEERING,0.01877124644763837,0.04842514399777075,0.017410171801130334,0.050383987117851504,0.021743744164677968,0.03134685870581379
BRAIN DISORDERS,0.01813143546841087,0.017909373284792144,0.013828437155142852,0.015542522561706455,0.01948228316827724,0.016978810327665912
STEM CELL RESEARCH,0.0170931797224951,0.015035512436471828,0.014269440503220278,0.007436073112385916,0.013045933678463833,0.013376027890607389
NUTRITION,0.016976023834096552,0.028197549931194627,0.021798954382671296,0.018355513234394712,0.025268240027276175,0.022119256281926673
INFECTIOUS DISEASES,0.016959463919826556,0.01660302935239121,0.014014413566527377,0.02860538637648049,0.029237776395156227,0.021084013922076372
COLO-RECTAL CANCER,0.016338385096376425,0.015706541573600196,0.020469546266950887,0.011829925705718267,0.018293783241072645,0.016527636376743683
HUMAN GENOME,0.01606414871845529,0.025417939108087945,0.031479798281807705,0.05216355204974946,0.0248512144219978,0.02999533051601964
KIDNEY DISEASE,0.015321360933356716,0.007489512714269186,0.010698605380480657,0.006661066854531331,0.007248703483643226,0.009483849873256222
LIVER DISEASE,0.014561664651749438,0.006453503746801159,0.005731973365920617,0.009582810476974044,0.007095927144872887,0.00868517587726363
VACCINE RELATED,0.014463693688963932,0.015346347757849307,0.011168500468416723,0.010831190883214957,0.019569732521539807,0.014275893063996948
LYMPHOMA,0.013314579329341528,0.006741641448083739,0.007095251383656576,0.004184827347727685,0.0033686704432186417,0.006940993990405634
TRANSPLANTATION,0.012819778238818061,0.006100435412572096,0.003571362129336181,0.0015139492094458763,0.005388817851167213,0.005878868568267886
ORPHAN DRUG,0.01255182666318313,0.010556685589443055,0.009903842146412227,0.005948897198287545,0.0058895748278278235,0.008970165285030756
PROSTATE CANCER,0.011991879293983206,0.016757975625742834,0.02072554915899386,0.024293314030755016,0.015349234776945797,0.017823590577284144
LUNG CANCER,0.011849163252743393,0.012712557528241054,0.00948793230396411,0.004224116352225601,0.007240951932216971,0.009102944273878226
DENTAL/ORAL AND CRANIOFACIAL DISEASE,0.009675826754171519,0.005986777648187491,0.0076733141980107255,0.002203474464082495,0.004996740501258562,0.0061072267131421585
CARDIOVASCULAR,0.00920818755295102,0.011980125133032997,0.012111516105865187,0.01653448341791702,0.012364896513992934,0.012439841744751831
PEDIATRIC CANCER,0.00864327003755102,0.004768108349551595,0.003313403725710138,0.0021257351366276733,0.0028980381390019973,0.004349711077688485
STEM CELL RESEARCH - NONEMBRYONIC - HUMAN,0.007499456557924495,0.005196328522071805,0.0038041465301825385,0.002134315493931815,0.0038825125609763976,0.00450335193301741
AUTOIMMUNE DISEASE,0.006270873942035165,0.004448089396104369,0.005712491777791064,0.010498873586176486,0.007012972769749859,0.0067886602943713886
BRAIN CANCER,0.005900163505068769,0.006419823003084609,0.0030747920513512846,0.004126641616480664,0.0019170332611597705,0.004287690687429019
CONTRACEPTION/REPRODUCTION,0.005319511404598,0.003974339815661597,0.0031930906868119086,0.011035049146738309,0.008809039098948692,0.006466206030551702
OBESITY,0.005223561509159557,0.009714750271007674,0.006779885502154228,0.009572324025258523,0.008604018939109245,0.007978908049337846
REGENERATIVE MEDICINE,0.005142774618538897,0.005186798112367283,0.004651530856009727,0.0031824093643310013,0.0058689906957978795,0.004806500729408957
HIV/AIDS,0.005027922146950394,0.007712026428682155,0.005476256918282873,0.020781783743090858,0.00821552047079154,0.009442701941559564
EMERGING INFECTIOUS DISEASES,0.004837260779955192,0.004887488460118202,0.004760043337900184,0.008837146343242924,0.009361775815089088,0.0065367429472611175
