rcdc_cso,INCa/INSERM/DGOS pubs,National Cancer Institute pubs,Cancer Research UK pubs,Wellcome Trust pubs,National Health and Medical Research Council pubs
RARE DISEASES * 5. Treatment,1194.2760822510854,6193.329826654506,634.555952380955,65.26031746031758,739.683817571321
GENETICS * 1. Biology,1070.22790404041,11255.215063640688,1962.5208694083642,436.37638888888864,2118.8350288600245
HEMATOLOGY * 5. Treatment,539.686363636364,2291.7629287379214,197.09761904761885,14.70694444444444,303.9959928959918
DIGESTIVE DISEASES * 5. Treatment,440.28634559884426,1662.0977540977465,260.311507936508,37.942207792207796,287.95826719576684
BREAST CANCER * 5. Treatment,421.01726190476154,2211.9529151404145,311.8761904761906,34.18055555555556,332.6988095238095
"RARE DISEASES * 4. Early Detection, Diagnosis",418.6159271284257,1937.2102143227094,279.1367479742478,27.809523809523796,246.64785353535373
"BREAST CANCER * 4. Early Detection, Diagnosis",379.47738095238077,2988.7939865689855,373.07222222222225,47.43650793650794,335.9543650793651
RARE DISEASES * 1. Biology,371.8130230880219,4022.4877076626094,419.4939393939381,95.78333333333332,608.5524711399721
GENETICS * 2. Etiology,342.8082903207896,4828.142698967525,586.4317155067159,273.3200757575753,1222.006637806645
BIOTECHNOLOGY * 1. Biology,269.18338744588715,3943.4315388315094,431.51329365079204,104.65039682539681,741.6151875901904
GENETICS * 5. Treatment,267.09738455988423,2884.6974312724155,391.81388888888836,71.52519841269842,451.8783050283041
"GENETICS * 4. Early Detection, Diagnosis",254.775992063492,1455.5153078403123,213.33131868131846,38.07539682539685,303.059163059163
BREAST CANCER * 1. Biology,246.61031746031728,3259.3030844155905,318.9531746031745,74.35238095238097,543.4319444444438
RARE DISEASES * 2. Etiology,230.6285506160497,1975.610548248071,187.6093489843483,83.44864718614727,382.72041847041663
"DIGESTIVE DISEASES * 4. Early Detection, Diagnosis",221.8012085137086,1460.5005411255424,215.16822344322358,27.48373015873016,253.79404761904777
ORPHAN DRUG * 5. Treatment,217.35281385281328,1755.5658725533726,167.9049603174602,23.983928571428553,190.12368048618046
BIOTECHNOLOGY * 5. Treatment,215.87781385281355,3414.6978188477947,293.89047619047557,52.3727633477634,518.1501725126711
"BIOENGINEERING * 4. Early Detection, Diagnosis",199.35634920634922,5571.731216006158,152.1095238095238,163.0611111111111,323.9588023088022
"DIGESTIVE DISEASES * 6. Cancer Control, Survivorship",194.80512265512266,1055.6421176046244,157.44444444444446,28.634830447330447,349.2358645983641
UROLOGIC DISEASES * 5. Treatment,189.20694444444464,902.2978896103957,133.72698412698406,24.90119047619047,217.14146825396847
"RARE DISEASES * 6. Cancer Control, Survivorship",187.36998556998572,1027.6469618344709,123.51130952380949,11.50952380952381,245.85800865800846
VACCINE RELATED * 5. Treatment,174.09024170274162,1813.5832935582919,122.61031746031742,18.589628427128428,304.5819005069004
TRANSPLANTATION * 5. Treatment,174.08986291486238,610.7194721944707,35.950198412698406,1.1646825396825395,69.88181540681562
STEM CELL RESEARCH * 5. Treatment,162.88311688311634,804.7159007659014,42.129166666666684,6.654761904761904,86.28385364635386
DIGESTIVE DISEASES * 1. Biology,162.29684343434332,1790.3673340548387,204.07499999999987,62.85000000000004,352.16280663780543
