rcdc_cso,rcdc,cso,pubs,agency
RARE DISEASES * 5. Treatment,RARE DISEASES,5,1194.2760822510854,INCa/INSERM/DGOS
GENETICS * 1. Biology,GENETICS,1,1070.22790404041,INCa/INSERM/DGOS
HEMATOLOGY * 5. Treatment,HEMATOLOGY,5,539.686363636364,INCa/INSERM/DGOS
DIGESTIVE DISEASES * 5. Treatment,DIGESTIVE DISEASES,5,440.2863455988442,INCa/INSERM/DGOS
BREAST CANCER * 5. Treatment,BREAST CANCER,5,421.01726190476165,INCa/INSERM/DGOS
"RARE DISEASES * 4. Early Detection, Diagnosis",RARE DISEASES,4,418.61592712842565,INCa/INSERM/DGOS
"BREAST CANCER * 4. Early Detection, Diagnosis",BREAST CANCER,4,379.4773809523808,INCa/INSERM/DGOS
RARE DISEASES * 1. Biology,RARE DISEASES,1,371.81302308802185,INCa/INSERM/DGOS
GENETICS * 2. Etiology,GENETICS,2,342.80829032078964,INCa/INSERM/DGOS
BIOTECHNOLOGY * 1. Biology,BIOTECHNOLOGY,1,269.18338744588715,INCa/INSERM/DGOS
GENETICS * 5. Treatment,GENETICS,5,267.0973845598843,INCa/INSERM/DGOS
"GENETICS * 4. Early Detection, Diagnosis",GENETICS,4,254.775992063492,INCa/INSERM/DGOS
BREAST CANCER * 1. Biology,BREAST CANCER,1,246.61031746031728,INCa/INSERM/DGOS
RARE DISEASES * 2. Etiology,RARE DISEASES,2,230.6285506160497,INCa/INSERM/DGOS
"DIGESTIVE DISEASES * 4. Early Detection, Diagnosis",DIGESTIVE DISEASES,4,221.80120851370862,INCa/INSERM/DGOS
ORPHAN DRUG * 5. Treatment,ORPHAN DRUG,5,217.35281385281326,INCa/INSERM/DGOS
BIOTECHNOLOGY * 5. Treatment,BIOTECHNOLOGY,5,215.87781385281357,INCa/INSERM/DGOS
"BIOENGINEERING * 4. Early Detection, Diagnosis",BIOENGINEERING,4,199.3563492063492,INCa/INSERM/DGOS
"DIGESTIVE DISEASES * 6. Cancer Control, Survivorship",DIGESTIVE DISEASES,6,194.80512265512263,INCa/INSERM/DGOS
UROLOGIC DISEASES * 5. Treatment,UROLOGIC DISEASES,5,189.20694444444462,INCa/INSERM/DGOS
"RARE DISEASES * 6. Cancer Control, Survivorship",RARE DISEASES,6,187.3699855699857,INCa/INSERM/DGOS
VACCINE RELATED * 5. Treatment,VACCINE RELATED,5,174.09024170274162,INCa/INSERM/DGOS
TRANSPLANTATION * 5. Treatment,TRANSPLANTATION,5,174.08986291486238,INCa/INSERM/DGOS
STEM CELL RESEARCH * 5. Treatment,STEM CELL RESEARCH,5,162.88311688311634,INCa/INSERM/DGOS
DIGESTIVE DISEASES * 1. Biology,DIGESTIVE DISEASES,1,162.29684343434332,INCa/INSERM/DGOS
HUMAN GENOME * 1. Biology,HUMAN GENOME,1,161.51937229437226,INCa/INSERM/DGOS
NUTRITION * 3. Prevention,NUTRITION,3,157.85317460317458,INCa/INSERM/DGOS
LUNG * 5. Treatment,LUNG,5,156.32837301587304,INCa/INSERM/DGOS
INFECTIOUS DISEASES * 2. Etiology,INFECTIOUS DISEASES,2,145.52228049728032,INCa/INSERM/DGOS
PEDIATRIC * 5. Treatment,PEDIATRIC,5,144.31446608946595,INCa/INSERM/DGOS
STEM CELL RESEARCH * 1. Biology,STEM CELL RESEARCH,1,139.2886002886001,INCa/INSERM/DGOS
"BREAST CANCER * 6. Cancer Control, Survivorship",BREAST CANCER,6,138.50903679653683,INCa/INSERM/DGOS
HEMATOLOGY * 1. Biology,HEMATOLOGY,1,137.90943362193354,INCa/INSERM/DGOS
KIDNEY DISEASE * 5. Treatment,KIDNEY DISEASE,5,131.8214285714285,INCa/INSERM/DGOS
DIGESTIVE DISEASES * 2. Etiology,DIGESTIVE DISEASES,2,129.24901209901208,INCa/INSERM/DGOS
"AGING * 6. Cancer Control, Survivorship",AGING,6,128.54947691197694,INCa/INSERM/DGOS
LYMPHOMA * 5. Treatment,LYMPHOMA,5,124.5933621933621,INCa/INSERM/DGOS
PROSTATE CANCER * 5. Treatment,PROSTATE CANCER,5,123.4652777777776,INCa/INSERM/DGOS
AGING * 5. Treatment,AGING,5,123.17242063492054,INCa/INSERM/DGOS
